wave,no,time,enemy_id,gate,lane,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,24,0,0,1000,20,20,20,,18,10
0,1,0,24,0,1,,,,,,,
0,2,0,24,0,2,,,,,,,
0,3,1.7,3,0,0,,,,,,,
0,4,0,3,0,1,,,,,,,
0,5,0,3,0,2,,,,,,,
0,6,1.7,24,0,0,,,,,,,
0,7,0,24,0,1,,,,,,,
0,8,0,24,0,2,,,,,,,
0,9,1.7,3,0,0,,,,,,,
0,10,0,3,0,1,,,,,,,
0,11,0,3,0,2,,,,,,,
0,12,1.7,24,0,0,,,,,,,
0,13,0,24,0,1,,,,,,,
0,14,0,24,0,2,,,,,,,
0,15,1.7,3,0,0,,,,,,,
0,16,0,3,0,1,,,,,,,
0,17,0,3,0,2,,,,,,,
0,18,2,24,0,0,,,,,,,
0,19,0,24,0,1,,,,,,,
0,20,0,24,0,2,,,,,,,
0,0,11,23,1,0,,,,,,,
0,1,0,23,1,1,,,,,,,
0,2,0,23,1,2,,,,,,,
0,3,1.7,10,1,0,,,,,,,
0,4,0,10,1,1,,,,,,,
0,5,0,10,1,2,,,,,,,
0,6,1.7,23,1,0,,,,,,,
0,7,0,23,1,1,,,,,,,
0,8,0,23,1,2,,,,,,,
0,9,1.7,10,1,0,,,,,,,
0,10,0,10,1,1,,,,,,,
0,11,0,10,1,2,,,,,,,
0,12,1.7,23,1,0,,,,,,,
0,13,0,23,1,1,,,,,,,
0,14,0,23,1,2,,,,,,,
0,15,1.7,10,1,0,,,,,,,
0,16,0,10,1,1,,,,,,,
0,17,0,10,1,2,,,,,,,
0,0,20,24,2,-1,,,,,,,
0,1,2,24,2,-1,,,,,,,
0,2,2,24,2,-1,,,,,,,
0,3,2,24,2,-1,,,,,,,
0,4,2,24,2,-1,,,,,,,
0,5,2,23,2,-1,,,,,,,
0,6,2,23,2,-1,,,,,,,
0,7,2,23,2,-1,,,,,,,
0,8,2,23,2,-1,,,,,,,
1,0,0,26,0,0,,,,,,,
1,1,0,15,0,1,,,,,,,
1,2,0,15,0,2,,,,,,,
1,3,1.5,3,0,0,,,,,,,
1,4,0,3,0,1,,,,,,,
1,5,0,3,0,2,,,,,,,
1,6,1.5,26,0,0,,,,,,,
1,7,0,15,0,1,,,,,,,
1,8,0,15,0,2,,,,,,,
1,9,1.5,3,0,0,,,,,,,
1,10,0,3,0,1,,,,,,,
1,11,0,3,0,2,,,,,,,
1,12,1.5,26,0,0,,,,,,,
1,13,0,15,0,1,,,,,,,
1,14,0,15,0,2,,,,,,,
1,15,1.5,3,0,0,,,,,,,
1,16,0,3,0,1,,,,,,,
1,17,0,3,0,2,,,,,,,
1,0,3,26,2,0,,,,,,,
1,1,0,15,2,1,,,,,,,
1,2,0,15,2,2,,,,,,,
1,3,1.5,3,2,0,,,,,,,
1,4,0,3,2,1,,,,,,,
1,5,0,3,2,2,,,,,,,
1,6,1.5,26,2,0,,,,,,,
1,7,0,15,2,1,,,,,,,
1,8,0,15,2,2,,,,,,,
1,9,1.5,3,2,0,,,,,,,
1,10,0,3,2,1,,,,,,,
1,11,0,3,2,2,,,,,,,
1,12,1.5,26,2,0,,,,,,,
1,13,0,15,2,1,,,,,,,
1,14,0,15,2,2,,,,,,,
1,15,2,3,2,0,,,,,,,
1,16,0,3,2,1,,,,,,,
1,17,0,3,2,2,,,,,,,
1,0,12,27,1,0,,,,,,,
1,1,0,27,1,1,,,,,,,
1,2,0,27,1,2,,,,,,,
1,3,1.5,1,1,0,,,,,,,
1,4,0,1,1,1,,,,,,,
1,5,0,1,1,2,,,,,,,
1,6,1.5,27,1,0,,,,,,,
1,7,0,27,1,1,,,,,,,
1,8,0,27,1,2,,,,,,,
1,9,1.5,1,1,0,,,,,,,
1,10,0,1,1,1,,,,,,,
1,11,0,1,1,2,,,,,,,
1,12,1.5,27,1,0,,,,,,,
1,13,0,27,1,1,,,,,,,
1,14,0,27,1,2,,,,,,,
1,15,1.5,1,1,0,,,,,,,
1,16,0,1,1,1,,,,,,,
1,17,0,1,1,2,,,,,,,
1,18,1.5,27,1,0,,,,,,,
1,19,0,27,1,1,,,,,,,
1,20,0,27,1,2,,,,,,,
1,21,1.5,1,1,0,,,,,,,
1,22,0,1,1,1,,,,,,,
1,23,0,1,1,2,,,,,,,
2,0,0,23,0,0,,,,,,,
2,1,0,23,0,2,,,,,,,
2,2,2,27,0,0,,,,,,,
2,3,0,27,0,2,,,,,,,
2,4,2,23,0,0,,,,,,,
2,5,0,23,0,2,,,,,,,
2,6,2,27,0,0,,,,,,,
2,7,0,27,0,2,,,,,,,
2,8,2,23,0,0,,,,,,,
2,9,0,23,0,2,,,,,,,
2,10,2,27,0,0,,,,,,,
2,11,0,27,0,2,,,,,,,
2,12,2,23,0,0,,,,,,,
2,13,0,23,0,2,,,,,,,
2,14,7,24,0,-1,,,,,,,
2,15,1.5,24,0,-1,,,,,,,
2,16,1.4,24,0,-1,,,,,,,
2,17,1.3,24,0,-1,,,,,,,
2,18,1.4,24,0,-1,,,,,,,
2,19,1.2,24,0,-1,,,,,,,
2,20,1.4,24,0,-1,,,,,,,
2,21,1.2,24,0,-1,,,,,,,
2,22,1,24,0,-1,,,,,,,
2,23,1.4,24,0,-1,,,,,,,
2,24,1.3,24,0,-1,,,,,,,
2,25,1.5,24,0,-1,,,,,,,
2,26,1,24,0,-1,,,,,,,
2,27,1.5,24,0,-1,,,,,,,
2,28,1,24,0,-1,,,,,,,
2,0,12,23,2,-1,,,,,,,
2,1,1.8,23,2,-1,,,,,,,
2,2,1.8,23,2,-1,,,,,,,
2,3,1.8,23,2,-1,,,,,,,
2,4,1.8,23,2,-1,,,,,,,
2,5,1.8,23,2,-1,,,,,,,
2,6,1.8,23,2,-1,,,,,,,
2,7,1.8,23,2,-1,,,,,,,
2,8,1.8,23,2,-1,,,,,,,
2,9,1.8,23,2,-1,,,,,,,
2,10,1.8,23,2,-1,,,,,,,
2,11,1.8,23,2,-1,,,,,,,
2,12,1.8,23,2,-1,,,,,,,
2,13,1.8,23,2,-1,,,,,,,
2,14,1.8,23,2,-1,,,,,,,
3,0,0,22,2,-1,,,,,,,
3,1,1.8,22,2,-1,,,,,,,
3,2,1.8,22,2,-1,,,,,,,
3,3,1.8,22,2,-1,,,,,,,
3,4,1.8,22,2,-1,,,,,,,
3,5,1.8,22,2,-1,,,,,,,
3,6,1.8,22,2,-1,,,,,,,
3,7,1.8,22,2,-1,,,,,,,
3,8,1.8,22,2,-1,,,,,,,
3,9,1.8,22,2,-1,,,,,,,
3,10,1.8,22,2,-1,,,,,,,
3,11,1.8,22,2,-1,,,,,,,
3,12,1.8,22,2,-1,,,,,,,
