id,product_id,price,purchase_price,spent_type,consumable,vip_point,map_unlock_id
0,,10,0,0,0,0,0
1,,0,0,0,0,0,0
2,,10,0,0,0,0,0
3,com.zitga.empire.warriors.td.tower.defense_hero_wukong_4.99,3000,4.99,0,0,50,0
4,com.zitga.empire.warriors.td.tower.defense_hero_zelos_7.99,4500,7.99,0,0,80,0
5,com.zitga.empire.warriors.td.tower.defense_hero_miria_9.99,7500,9.99,0,0,100,0
6,com.zitga.empire.warriors.td.tower.defense_hero_thraldin_9.99,7500,9.99,0,0,100,14
7,com.zitga.empire.warriors.td.tower.defense_hero_leon_9.99,10000,9.99,0,0,100,0
8,com.zitga.empire.warriors.td.tower.defense_hero_aerendel_9.99,15000,9.99,0,0,100,19
9,com.zitga.empire.warriors.td.tower.defense_hero_lyna_9.99,30,9.99,48,0,100,0
10,com.zitga.empire.warriors.td.tower.defense_hero_elowyn_9.99,30,9.99,48,0,100,0
11,com.zitga.empire.warriors.td.tower.defense_hero_thirios_9.99,30,9.99,48,0,100,19
12,com.zitga.empire.warriors.td.tower.defense_hero_federycc_9.99,0,9.99,0,0,100,0
13,com.zitga.empire.warriors.td.tower.defense_hero_zenecia,0,9.99,0,0,100,0
