wave,no,time,enemy_id,gate,lane,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,32,4,0,3000,1,20,20,,18,10
0,1,0,32,4,1,,,,,,,
0,2,0,32,4,2,,,,,,,
0,3,1.8,0,4,0,,,,,,,
0,4,0,0,4,1,,,,,,,
0,5,0,0,4,2,,,,,,,
0,6,1.8,32,4,0,,,,,,,
0,7,0,32,4,1,,,,,,,
0,8,0,32,4,2,,,,,,,
0,9,3,32,4,0,,,,,,,
0,10,0,32,4,1,,,,,,,
0,11,0,32,4,2,,,,,,,
0,12,1.8,0,4,0,,,,,,,
0,13,0,0,4,1,,,,,,,
0,14,0,0,4,2,,,,,,,
0,15,1.8,32,4,0,,,,,,,
0,16,0,32,4,1,,,,,,,
0,17,0,32,4,2,,,,,,,
0,18,7,32,4,0,,,,,,,
0,19,0,32,4,1,,,,,,,
0,20,0,32,4,2,,,,,,,
0,21,1.8,0,4,0,,,,,,,
0,22,0,0,4,1,,,,,,,
0,23,0,0,4,2,,,,,,,
0,24,1.8,32,4,0,,,,,,,
0,25,0,32,4,1,,,,,,,
0,26,0,32,4,2,,,,,,,
0,27,3,32,4,0,,,,,,,
0,28,0,32,4,1,,,,,,,
0,29,0,32,4,2,,,,,,,
0,30,1.8,0,4,0,,,,,,,
0,31,0,0,4,1,,,,,,,
0,32,0,0,4,2,,,,,,,
0,33,1.8,32,4,0,,,,,,,
0,34,0,32,4,1,,,,,,,
0,35,0,32,4,2,,,,,,,
0,0,14,32,5,0,,,,,,,
0,1,0,32,5,1,,,,,,,
0,2,0,32,5,2,,,,,,,
0,3,1.8,1,5,0,,,,,,,
0,4,0,1,5,1,,,,,,,
0,5,0,1,5,2,,,,,,,
0,6,1.8,27,5,0,,,,,,,
0,7,0,27,5,1,,,,,,,
0,8,0,27,5,2,,,,,,,
0,9,4,32,5,0,,,,,,,
0,10,0,32,5,1,,,,,,,
0,11,0,32,5,2,,,,,,,
0,12,1.8,1,5,0,,,,,,,
0,13,0,1,5,1,,,,,,,
0,14,0,1,5,2,,,,,,,
0,15,1.8,27,5,0,,,,,,,
0,16,0,27,5,1,,,,,,,
0,17,0,27,5,2,,,,,,,
0,18,4,32,5,0,,,,,,,
0,19,0,32,5,1,,,,,,,
0,20,0,32,5,2,,,,,,,
0,21,1.8,1,5,0,,,,,,,
0,22,0,1,5,1,,,,,,,
0,23,0,1,5,2,,,,,,,
0,24,1.8,27,5,0,,,,,,,
0,25,0,27,5,1,,,,,,,
0,26,0,27,5,2,,,,,,,
0,27,4,32,5,0,,,,,,,
0,28,0,32,5,1,,,,,,,
0,29,0,32,5,2,,,,,,,
0,30,1.8,1,5,0,,,,,,,
0,31,0,1,5,1,,,,,,,
0,32,0,1,5,2,,,,,,,
0,33,1.8,27,5,0,,,,,,,
0,34,0,27,5,1,,,,,,,
0,35,0,27,5,2,,,,,,,
1,0,0,24,2,1,,,,,,,
1,1,0,24,2,2,,,,,,,
1,2,2.4,32,2,1,,,,,,,
1,3,0,32,2,2,,,,,,,
1,4,2.4,32,2,1,,,,,,,
1,5,0,32,2,2,,,,,,,
1,6,5,24,2,1,,,,,,,
1,7,0,24,2,2,,,,,,,
1,8,2.4,32,2,1,,,,,,,
1,9,0,32,2,2,,,,,,,
1,10,2.4,32,2,1,,,,,,,
1,11,0,32,2,2,,,,,,,
1,12,5,24,2,1,,,,,,,
1,13,0,24,2,2,,,,,,,
1,14,2.4,32,2,1,,,,,,,
1,15,0,32,2,2,,,,,,,
1,16,2.4,32,2,1,,,,,,,
1,17,0,32,2,2,,,,,,,
1,18,5,24,2,1,,,,,,,
1,19,0,24,2,2,,,,,,,
1,20,2.4,32,2,1,,,,,,,
1,21,0,32,2,2,,,,,,,
1,22,2.4,32,2,1,,,,,,,
1,23,0,32,2,2,,,,,,,
1,0,8,23,1,1,,,,,,,
1,1,0,23,1,2,,,,,,,
1,2,2.4,32,1,1,,,,,,,
1,3,0,32,1,2,,,,,,,
1,4,2.4,32,1,1,,,,,,,
1,5,0,32,1,2,,,,,,,
1,6,5,23,1,1,,,,,,,
1,7,0,23,1,2,,,,,,,
1,8,2.4,32,1,1,,,,,,,
1,9,0,32,1,2,,,,,,,
1,10,2.4,32,1,1,,,,,,,
1,11,0,32,1,2,,,,,,,
1,12,5,23,1,1,,,,,,,
1,13,0,23,1,2,,,,,,,
1,14,2.4,32,1,1,,,,,,,
1,15,0,32,1,2,,,,,,,
1,16,2.4,32,1,1,,,,,,,
1,17,0,32,1,2,,,,,,,
1,18,5,23,1,1,,,,,,,
1,19,0,23,1,2,,,,,,,
1,20,2.4,32,1,1,,,,,,,
1,21,0,32,1,2,,,,,,,
1,22,2.4,32,1,1,,,,,,,
1,23,0,32,1,2,,,,,,,
1,0,22,26,4,1,,,,,,,
1,1,0,26,4,2,,,,,,,
1,2,2.4,0,4,1,,,,,,,
1,3,0,0,4,2,,,,,,,
1,4,2.4,0,4,1,,,,,,,
1,5,0,0,4,2,,,,,,,
1,8,5,26,4,1,,,,,,,
1,9,0,26,4,2,,,,,,,
1,10,2.4,0,4,1,,,,,,,
1,11,0,0,4,2,,,,,,,
1,12,2.4,0,4,1,,,,,,,
1,13,0,0,4,2,,,,,,,
1,0,15,26,5,1,,,,,,,
1,1,0,26,5,2,,,,,,,
1,2,2.4,0,5,1,,,,,,,
1,3,0,0,5,2,,,,,,,
1,4,2.4,0,5,1,,,,,,,
1,5,0,0,5,2,,,,,,,
1,8,5,26,5,1,,,,,,,
1,9,0,26,5,2,,,,,,,
1,10,2.4,0,5,1,,,,,,,
1,11,0,0,5,2,,,,,,,
1,12,2.4,0,5,1,,,,,,,
1,13,0,0,5,2,,,,,,,
2,0,0,27,5,1,,,,,,,
2,1,0,27,5,2,,,,,,,
2,2,3,32,5,1,,,,,,,
2,3,0,32,5,2,,,,,,,
2,4,3,32,5,1,,,,,,,
2,5,0,32,5,2,,,,,,,
2,6,7,27,5,1,,,,,,,
2,7,0,27,5,2,,,,,,,
2,8,3,32,5,1,,,,,,,
2,9,0,32,5,2,,,,,,,
2,10,3,32,5,1,,,,,,,
2,11,0,32,5,2,,,,,,,
2,12,7,27,5,1,,,,,,,
2,13,0,27,5,2,,,,,,,
2,14,3,32,5,1,,,,,,,
2,15,0,32,5,2,,,,,,,
2,16,3,32,5,1,,,,,,,
2,17,0,32,5,2,,,,,,,
2,18,2,27,5,1,,,,,,,
2,19,0,27,5,2,,,,,,,
2,20,3,32,5,1,,,,,,,
2,21,0,32,5,2,,,,,,,
2,22,3,32,5,1,,,,,,,
2,23,0,32,5,2,,,,,,,
2,0,16,26,4,1,,,,,,,
2,1,0,26,4,2,,,,,,,
2,2,3,32,4,1,,,,,,,
2,3,0,32,4,2,,,,,,,
2,4,3,32,4,1,,,,,,,
