wave,no,time,enemy_id,gate,lane,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,0,5,1,,,,,,,3000,1,20,20
0,1,1.5,0,5,1,,,,,,,,,,
0,2,1,6,5,2,,,,,,,,,,
0,3,2,0,5,2,,,,,,,,,,
0,4,1.5,0,5,2,,,,,,,,,,
0,5,1,6,5,1,,,,,,,,,,
0,6,2,0,5,1,,,,,,,,,,
0,7,1.5,0,5,1,,,,,,,,,,
0,8,1,6,5,2,,,,,,,,,,
0,9,2,0,5,2,,,,,,,,,,
0,10,1.5,0,5,2,,,,,,,,,,
0,11,1,6,5,1,,,,,,,,,,
0,12,2,0,5,1,,,,,,,,,,
0,13,1.5,0,5,1,,,,,,,,,,
0,14,1,6,5,2,,,,,,,,,,
0,15,2,0,5,2,,,,,,,,,,
0,16,1.5,0,5,2,,,,,,,,,,
0,17,1,6,5,1,,,,,,,,,,
0,0,12,1,3,2,,,,,,,,,,
0,1,1.5,1,3,2,,,,,,,,,,
0,2,1,4,3,1,,,,,,,,,,
0,3,2,1,3,1,,,,,,,,,,
0,4,1.5,1,3,1,,,,,,,,,,
0,5,1,4,3,2,,,,,,,,,,
0,6,2,1,3,2,,,,,,,,,,
0,7,1.5,1,3,2,,,,,,,,,,
0,8,1,4,3,1,,,,,,,,,,
0,9,2,1,3,1,,,,,,,,,,
0,10,1.5,1,3,1,,,,,,,,,,
0,11,1,4,3,2,,,,,,,,,,
0,12,2,1,3,2,,,,,,,,,,
0,13,1.5,1,3,2,,,,,,,,,,
0,14,1,4,3,1,,,,,,,,,,
0,15,2,1,3,1,,,,,,,,,,
0,16,1.5,1,3,1,,,,,,,,,,
0,17,1,4,3,2,,,,,,,,,,
1,0,0,0,5,1,,20,20,20,20,,,,,
1,1,0,0,5,0,,20,20,20,20,,,,,
1,2,1.5,1,5,0,,20,20,20,20,,,,,
1,3,0,1,5,2,,20,20,20,20,,,,,
1,4,2,6,5,-1,,20,20,20,20,,,,,
1,5,1.8,0,5,1,,20,20,20,20,,,,,
1,6,0,0,5,0,,20,20,20,20,,,,,
1,7,1.5,1,5,0,,20,20,20,20,,,,,
1,8,0,1,5,2,,20,20,20,20,,,,,
1,9,2,6,5,-1,,20,20,20,20,,,,,
1,10,1.8,0,5,1,,20,20,20,20,,,,,
1,11,0,0,5,0,,20,20,20,20,,,,,
1,12,1.5,1,5,0,,20,20,20,20,,,,,
1,13,0,1,5,2,,20,20,20,20,,,,,
1,14,2,6,5,-1,,20,20,20,20,,,,,
1,15,1.8,0,5,1,,20,20,20,20,,,,,
1,16,0,0,5,0,,20,20,20,20,,,,,
1,17,1.5,1,5,0,,20,20,20,20,,,,,
1,18,0,1,5,2,,20,20,20,20,,,,,
1,19,2,6,5,-1,,20,20,20,20,,,,,
1,20,1.8,0,5,1,,20,20,20,20,,,,,
1,21,0,0,5,0,,20,20,20,20,,,,,
1,22,1.5,1,5,0,,20,20,20,20,,,,,
1,23,0,1,5,2,,20,20,20,20,,,,,
1,24,1.7,6,5,-1,,20,20,20,20,,,,,
1,0,12,3,2,1,,20,20,20,20,,,,,
1,1,0,3,2,2,,20,20,20,20,,,,,
1,2,1.7,2,2,1,,20,20,20,20,,,,,
1,3,0,2,2,2,,20,20,20,20,,,,,
1,4,1.5,4,2,0,,20,20,20,20,,,,,
1,5,2.9,3,2,1,,20,20,20,20,,,,,
1,6,0,3,2,2,,20,20,20,20,,,,,
1,7,1.7,2,2,1,,20,20,20,20,,,,,
1,8,0,2,2,2,,20,20,20,20,,,,,
1,9,1.5,4,2,0,,20,20,20,20,,,,,
1,10,2.9,3,2,1,,20,20,20,20,,,,,
1,11,0,3,2,2,,20,20,20,20,,,,,
1,12,1.7,2,2,1,,20,20,20,20,,,,,
1,13,0,2,2,2,,20,20,20,20,,,,,
1,14,1.5,4,2,0,,20,20,20,20,,,,,
1,15,2.9,3,2,1,,20,20,20,20,,,,,
1,16,0,3,2,2,,20,20,20,20,,,,,
1,17,1.7,2,2,1,,20,20,20,20,,,,,
1,18,0,2,2,2,,20,20,20,20,,,,,
1,19,1.5,4,2,0,,20,20,20,20,,,,,
1,20,2.9,3,2,1,,20,20,20,20,,,,,
2,0,0,4,3,0,,30,30,30,30,,,,,
2,1,1.1,4,3,1,,30,30,30,30,,,,,
2,2,0,4,3,2,,30,30,30,30,,,,,
2,3,2.3,3,3,1,,30,30,30,30,,,,,
2,4,0,3,3,0,,30,30,30,30,,,,,
2,5,1.5,2,3,2,,30,30,30,30,,,,,
