wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
0,0,0,0,1,650,20,20,20,0_2_0@1_2_0@2_2_0@3_2_0,18,10,5,10
0,1,2,0,1,,,,,,,,,
0,2,2.3,0,1,,,,,,,,,
0,3,2.1,2,1,,,,,,,,,
0,4,1.8,2,1,,,,,,,,,
0,5,1.7,2,1,,,,,,,,,
0,6,2.5,2,1,,,,,,,,,
0,7,2.4,0,1,,,,,,,,,
0,8,2.4,0,1,,,,,,,,,
0,9,1.6,0,1,,,,,,,,,
0,0,19,0,0,,,,,,,,,
0,1,1.9,0,0,,,,,,,,,
0,2,1.8,0,0,,,,,,,,,
0,3,1.5,0,0,,,,,,,,,
0,4,1.7,0,0,,,,,,,,,
0,5,1.9,2,0,,,,,,,,,
0,6,1.8,2,0,,,,,,,,,
0,7,1.5,2,0,,,,,,,,,
0,8,1.7,2,0,,,,,,,,,
0,9,1.9,2,0,,,,,,,,,
0,10,1.8,2,0,,,,,,,,,
0,11,1.5,2,0,,,,,,,,,
1,0,0,0,1,,,,,,,,,
1,1,1.2,0,1,,,,,,,,,
1,2,1.5,0,1,,,,,,,,,
1,3,1.6,0,1,,,,,,,,,
1,4,1.2,0,1,,,,,,,,,
1,5,1.6,0,1,,,,,,,,,
1,0,8.3,2,0,,,,,,,,,
1,1,1.5,2,0,,,,,,,,,
1,2,1.7,2,0,,,,,,,,,
1,3,1.2,2,0,,,,,,,,,
1,4,1.4,2,0,,,,,,,,,
1,5,0,0,0,,,,,,,,,
1,6,2.1,0,0,,,,,,,,,
1,7,2,0,0,,,,,,,,,
1,8,1.6,0,0,,,,,,,,,
1,9,1.3,0,0,,,,,,,,,
1,10,2,0,0,,,,,,,,,
1,11,2.1,0,0,,,,,,,,,
1,12,2,0,0,,,,,,,,,
1,13,2,2,0,,,,,,,,,
1,14,2,2,0,,,,,,,,,
1,15,1.7,2,0,,,,,,,,,
1,16,1.7,2,0,,,,,,,,,
1,17,1.5,2,0,,,,,,,,,
2,0,0,1,1,,,,,,,,,
2,1,1,1,1,,,,,,,,,
2,2,1.4,1,1,,,,,,,,,
2,3,1.2,1,1,,,,,,,,,
2,4,1.5,1,1,,,,,,,,,
2,5,1.7,1,1,,,,,,,,,
2,6,1.2,1,1,,,,,,,,,
2,7,1,0,1,,,,,,,,,
2,8,0.4,0,1,,,,,,,,,
2,9,0.6,0,1,,,,,,,,,
2,10,0.7,0,1,,,,,,,,,
2,11,0.55,2,1,,,,,,,,,
2,12,0.65,2,1,,,,,,,,,
2,13,0.8,2,1,,,,,,,,,
2,14,0.46,2,1,,,,,,,,,
2,15,0.7,2,1,,,,,,,,,
2,16,0.65,0,1,,,,,,,,,
2,17,0.8,0,1,,,,,,,,,
2,18,0.46,0,1,,,,,,,,,
2,19,0.7,0,1,,,,,,,,,
2,20,1,2,1,,,,,,,,,
2,21,1.6,2,1,,,,,,,,,
2,22,1.7,2,1,,,,,,,,,
2,23,1.9,2,1,,,,,,,,,
2,24,1.2,2,1,,,,,,,,,
3,0,0,0,0,,,,,,,,,
3,1,1.8,0,0,,,,,,,,,
3,2,1.2,0,0,,,,,,,,,
3,3,0.8,0,0,,,,,,,,,
3,4,1,0,0,,,,,,,,,
3,5,1.1,0,0,,,,,,,,,
3,6,1.1,2,0,,,,,,,,,
3,7,1.5,2,0,,,,,,,,,
3,8,0.9,2,0,,,,,,,,,
3,9,2.2,2,0,,,,,,,,,
3,10,1.2,2,0,,,,,,,,,
3,11,1.3,0,0,,,,,,,,,
3,12,1.6,0,0,,,,,,,,,
3,13,1.5,0,0,,,,,,,,,
3,14,1.3,2,0,,,,,,,,,
3,15,1.6,2,0,,,,,,,,,
3,16,1.5,2,0,,,,,,,,,
3,0,1,0,1,,,,,,,,,
3,1,1.2,0,1,,,,,,,,,
3,2,1.2,0,1,,,,,,,,,
3,3,0.9,0,1,,,,,,,,,
3,4,1,0,1,,,,,,,,,
3,5,1,2,1,,,,,,,,,
3,6,1.4,2,1,,,,,,,,,
3,7,1.2,2,1,,,,,,,,,
3,8,1.3,2,1,,,,,,,,,
3,9,2.2,2,1,,,,,,,,,
3,10,1,0,1,,,,,,,,,
3,11,1.7,0,1,,,,,,,,,
3,12,1.4,0,1,,,,,,,,,
3,13,1.3,2,1,,,,,,,,,
3,14,1.7,2,1,,,,,,,,,
3,15,1.4,2,1,,,,,,,,,
4,0,0,0,0,,,,,,,,,
4,1,1.2,0,0,,,,,,,,,
4,2,1.6,0,0,,,,,,,,,
4,3,1.2,1,0,,,,,,,,,
4,4,1.7,1,0,,,,,,,,,
4,5,1.8,1,0,,,,,,,,,
4,6,1.7,1,0,,,,,,,,,
4,7,2,1,0,,,,,,,,,
4,8,2.3,1,0,,,,,,,,,
4,9,2.2,0,0,,,,,,,,,
4,10,2.5,0,0,,,,,,,,,
4,11,1.5,0,0,,,,,,,,,
4,12,1.7,2,0,,,,,,,,,
4,13,1.8,2,0,,,,,,,,,
4,14,1.8,2,0,,,,,,,,,
4,15,1.7,2,0,,,,,,,,,
4,16,2.2,2,0,,,,,,,,,
4,0,29.1,0,1,,,,,,,,,
4,1,1.8,0,1,,,,,,,,,
4,2,1.7,0,1,,,,,,,,,
4,3,2.2,0,1,,,,,,,,,
4,4,1.6,2,1,,,,,,,,,
4,5,2.2,2,1,,,,,,,,,
4,6,1.6,2,1,,,,,,,,,
4,7,1.8,2,1,,,,,,,,,
4,8,1.7,2,1,,,,,,,,,
4,9,2.2,2,1,,,,,,,,,
4,10,1.6,2,1,,,,,,,,,
5,0,0,0,0,,,,,,,,,
5,1,1.2,0,0,,,,,,,,,
5,2,1.6,0,0,,,,,,,,,
5,3,1.2,0,0,,,,,,,,,
5,4,1.6,2,0,,,,,,,,,
5,5,1.2,2,0,,,,,,,,,
5,6,0,2,0,,,,,,,,,
5,7,1.2,2,0,,,,,,,,,
5,8,1.6,2,0,,,,,,,,,
5,9,15.8,1,0,,,,,,,,,
5,10,0.8,1,0,,,,,,,,,
5,11,0.8,1,0,,,,,,,,,
5,12,0.8,1,0,,,,,,,,,
5,13,0.8,0,0,,,,,,,,,
5,14,0.8,1,0,,,,,,,,,
5,15,0.8,1,0,,,,,,,,,
5,16,0.8,1,0,,,,,,,,,
5,17,0.8,1,0,,,,,,,,,
5,18,0.8,1,0,,,,,,,,,
