wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
0,0,0,0,0,600,1,20,20,,18,10,5,10
0,1,2,0,0,,,,,,,,,
0,2,1.7,0,0,,,,,,,,,
0,3,1.5,0,0,,,,,,,,,
0,4,1.9,0,0,,,,,,,,,
0,5,1.7,0,0,,,,,,,,,
0,6,1.4,0,0,,,,,,,,,
0,7,2,0,0,,,,,,,,,
0,8,1.4,0,0,,,,,,,,,
0,9,1.4,0,0,,,,,,,,,
0,10,0,1,0,,,,,,,,,
0,11,1.5,1,0,,,,,,,,,
0,12,1.6,1,0,,,,,,,,,
0,13,2,1,0,,,,,,,,,
0,14,1.8,1,0,,,,,,,,,
0,15,1.8,1,0,,,,,,,,,
0,16,2,0,0,,,,,,,,,
0,17,2,0,0,,,,,,,,,
0,18,1.3,0,0,,,,,,,,,
0,19,1.2,0,0,,,,,,,,,
0,20,0,0,0,,,,,,,,,
0,21,0.5,0,0,,,,,,,,,
0,22,0.7,0,0,,,,,,,,,
0,23,0.9,0,0,,,,,,,,,
0,24,0.5,1,0,,,,,,,,,
0,25,0.4,1,0,,,,,,,,,
0,26,0.8,1,0,,,,,,,,,
0,27,3,0,0,,,,,,,,,
0,28,0.4,0,0,,,,,,,,,
0,29,0.6,0,0,,,,,,,,,
0,30,0.7,0,0,,,,,,,,,
0,31,0.55,1,0,,,,,,,,,
0,32,0.65,1,0,,,,,,,,,
0,33,0.6,0,0,,,,,,,,,
0,34,0.7,0,0,,,,,,,,,
0,35,0.55,1,0,,,,,,,,,
0,36,0.65,1,0,,,,,,,,,
1,0,0,0,0,,,,,,,,,
1,1,0.6,0,0,,,,,,,,,
1,2,1,0,0,,,,,,,,,
1,3,1,0,0,,,,,,,,,
1,4,0.7,1,0,,,,,,,,,
1,5,1.3,1,0,,,,,,,,,
1,6,2,0,0,,,,,,,,,
1,7,1,0,0,,,,,,,,,
1,8,1.2,0,0,,,,,,,,,
1,9,0,1,0,,,,,,,,,
1,10,1.7,1,0,,,,,,,,,
1,11,2,0,0,,,,,,,,,
1,12,1,0,0,,,,,,,,,
1,13,0.7,0,0,,,,,,,,,
1,14,2,0,0,,,,,,,,,
1,15,1,0,0,,,,,,,,,
1,16,1.2,0,0,,,,,,,,,
1,17,1.3,1,0,,,,,,,,,
1,18,1,1,0,,,,,,,,,
1,19,0.3,0,0,,,,,,,,,
1,20,1,0,0,,,,,,,,,
1,21,1.2,0,0,,,,,,,,,
1,22,1.3,1,0,,,,,,,,,
1,23,1,1,0,,,,,,,,,
1,24,0.7,1,0,,,,,,,,,
1,25,1,1,0,,,,,,,,,
1,26,1.2,0,0,,,,,,,,,
1,27,1.2,0,0,,,,,,,,,
1,28,0.9,0,0,,,,,,,,,
1,29,0.8,1,0,,,,,,,,,
1,30,1,1,0,,,,,,,,,
1,31,1.3,1,0,,,,,,,,,
1,32,1.3,1,0,,,,,,,,,
1,33,1.4,0,0,,,,,,,,,
1,34,1.5,0,0,,,,,,,,,
1,35,1.7,0,0,,,,,,,,,
1,36,1,0,0,,,,,,,,,
1,37,1.7,1,0,,,,,,,,,
1,38,1,1,0,,,,,,,,,
1,39,1.3,1,0,,,,,,,,,
1,40,1.3,1,0,,,,,,,,,
1,41,1.4,0,0,,,,,,,,,
1,42,1.5,0,0,,,,,,,,,
1,43,1.7,0,0,,,,,,,,,
1,44,1,0,0,,,,,,,,,
1,45,1.3,1,0,,,,,,,,,
1,46,1.3,1,0,,,,,,,,,
1,47,1,1,0,,,,,,,,,
1,48,1.5,1,0,,,,,,,,,
1,49,1,1,0,,,,,,,,,
1,50,0.5,1,0,,,,,,,,,
1,51,0.7,1,0,,,,,,,,,
1,52,0.3,1,0,,,,,,,,,
1,53,0.8,1,0,,,,,,,,,
1,54,1,1,0,,,,,,,,,
1,55,0.5,1,0,,,,,,,,,
