wave,no,time,enemy_id,gate,lane,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,17,5,2,1,,,,,,,3000,1,20,20
0,1,2,5,2,1,,,,,,,,,,
0,2,2,5,2,2,,,,,,,,,,
0,3,2,5,2,0,,,,,,,,,,
0,4,2,6,2,-1,,,,,,,,,,
0,5,2,6,2,-1,,,,,,,,,,
0,6,2,6,2,-1,,,,,,,,,,
0,7,2,6,2,-1,,,,,,,,,,
0,8,2,5,2,-1,,,,,,,,,,
0,9,2,6,2,-1,,,,,,,,,,
0,10,2,6,2,-1,,,,,,,,,,
0,11,1.8,6,2,-1,,,,,,,,,,
0,12,1.8,6,2,-1,,,,,,,,,,
0,13,1.8,6,2,-1,,,,,,,,,,
0,14,1.8,6,2,-1,,,,,,,,,,
0,15,1.8,6,2,-1,,,,,,,,,,
0,16,1.8,6,2,-1,,,,,,,,,,
0,17,1.8,5,2,-1,,,,,,,,,,
0,18,1.6,6,2,-1,,,,,,,,,,
0,19,1.6,5,2,-1,,,,,,,,,,
0,20,1.6,6,2,-1,,,,,,,,,,
0,21,1.6,6,2,-1,,,,,,,,,,
0,22,1.6,6,2,-1,,,,,,,,,,
0,23,1.6,5,2,-1,,,,,,,,,,
0,24,1.6,6,2,-1,,,,,,,,,,
0,25,1.6,5,2,-1,,,,,,,,,,
0,26,1.4,6,2,-1,,,,,,,,,,
0,27,1.4,6,2,-1,,,,,,,,,,
0,28,1.5,6,2,-1,,,,,,,,,,
0,29,1.2,6,2,-1,,,,,,,,,,
0,0,0,10,1,-1,,,,,,,,,,
0,1,1.8,3,1,-1,,,,,,,,,,
0,2,1.8,3,1,-1,,,,,,,,,,
0,3,1.8,3,1,-1,,,,,,,,,,
0,4,1.8,3,1,-1,,,,,,,,,,
0,5,1.8,3,1,-1,,,,,,,,,,
0,6,1.8,10,1,-1,,,,,,,,,,
0,7,1.8,3,1,-1,,,,,,,,,,
0,8,1.8,3,1,-1,,,,,,,,,,
0,9,1.6,10,1,-1,,,,,,,,,,
0,10,1.6,3,1,-1,,,,,,,,,,
0,11,1.6,3,1,-1,,,,,,,,,,
0,12,1.6,10,1,-1,,,,,,,,,,
0,13,1.6,3,1,-1,,,,,,,,,,
0,14,1.6,10,1,-1,,,,,,,,,,
0,15,1.6,3,1,-1,,,,,,,,,,
0,16,1.6,3,1,-1,,,,,,,,,,
0,17,1.8,3,1,-1,,,,,,,,,,
0,18,1.8,3,1,-1,,,,,,,,,,
0,19,1.8,10,1,-1,,,,,,,,,,
0,0,35,3,0,1,,,,,,,,,,
0,1,0,3,0,2,,,,,,,,,,
0,2,1.5,6,0,0,,,,,,,,,,
0,3,2.5,3,0,1,,,,,,,,,,
0,4,0,3,0,2,,,,,,,,,,
0,5,1.5,6,0,0,,,,,,,,,,
0,6,2.5,3,0,1,,,,,,,,,,
0,7,0,3,0,2,,,,,,,,,,
0,8,1.5,6,0,0,,,,,,,,,,
0,9,2.5,3,0,1,,,,,,,,,,
0,10,0,3,0,2,,,,,,,,,,
0,11,1.5,6,0,0,,,,,,,,,,
0,12,2.5,3,0,1,,,,,,,,,,
0,13,0,3,0,2,,,,,,,,,,
0,14,1.5,6,0,0,,,,,,,,,,
0,15,1.5,3,0,1,,,,,,,,,,
0,16,1.5,3,0,2,,,,,,,,,,
1,0,0,5,1,1,,20,20,20,20,,,,,
1,1,2,5,1,1,,20,20,20,20,,,,,
1,2,2,3,1,2,,20,20,20,20,,,,,
1,3,2,5,1,0,,20,20,20,20,,,,,
1,4,2,3,1,-1,,20,20,20,20,,,,,
1,5,2,3,1,-1,,20,20,20,20,,,,,
1,6,2,3,1,-1,,20,20,20,20,,,,,
1,7,2,3,1,-1,,20,20,20,20,,,,,
1,8,2,5,1,-1,,20,20,20,20,,,,,
1,9,1.8,3,1,-1,,20,20,20,20,,,,,
1,10,1.8,3,1,-1,,20,20,20,20,,,,,
1,11,1.8,3,1,-1,,20,20,20,20,,,,,
1,12,1.8,3,1,-1,,20,20,20,20,,,,,
1,13,1.8,3,1,-1,,20,20,20,20,,,,,
1,14,1.8,3,1,-1,,20,20,20,20,,,,,
1,15,1.8,3,1,-1,,20,20,20,20,,,,,
1,16,1.8,3,1,-1,,20,20,20,20,,,,,
1,17,1.8,5,1,-1,,20,20,20,20,,,,,
1,18,1.6,3,1,-1,,20,20,20,20,,,,,
1,19,1.6,5,1,-1,,20,20,20,20,,,,,
1,20,1.6,3,1,-1,,20,20,20,20,,,,,
1,21,1.6,3,1,-1,,20,20,20,20,,,,,
1,22,1.6,3,1,-1,,20,20,20,20,,,,,
1,23,1.6,5,1,-1,,20,20,20,20,,,,,
1,24,2,3,1,-1,,20,20,20,20,,,,,
1,25,2,3,1,-1,,20,20,20,20,,,,,
1,26,2,5,1,-1,,20,20,20,20,,,,,
1,27,2,3,1,-1,,20,20,20,20,,,,,
1,28,1.4,5,1,-1,,20,20,20,20,,,,,
1,29,1.4,3,1,-1,,20,20,20,20,,,,,
1,0,25,4,2,1,,20,20,20,20,,,,,
1,1,2,10,2,1,,20,20,20,20,,,,,
1,2,0,10,2,2,,20,20,20,20,,,,,
1,3,1.8,4,2,0,,20,20,20,20,,,,,
1,4,1.8,10,2,-1,,20,20,20,20,,,,,
1,5,1.8,4,2,-1,,20,20,20,20,,,,,
1,6,1.8,4,2,-1,,20,20,20,20,,,,,
1,7,1.8,10,2,-1,,20,20,20,20,,,,,
1,8,1.8,4,2,-1,,20,20,20,20,,,,,
1,9,2,10,2,-1,,20,20,20,20,,,,,
1,10,2,4,2,-1,,20,20,20,20,,,,,
1,11,2,10,2,-1,,20,20,20,20,,,,,
1,12,2,10,2,-1,,20,20,20,20,,,,,
1,13,2,4,2,-1,,20,20,20,20,,,,,
1,14,2,10,2,-1,,20,20,20,20,,,,,
1,15,1.8,4,2,-1,,20,20,20,20,,,,,
1,16,1.8,10,2,-1,,20,20,20,20,,,,,
1,17,1.8,4,2,-1,,20,20,20,20,,,,,
1,18,1.8,10,2,-1,,20,20,20,20,,,,,
1,19,1.8,4,2,-1,,20,20,20,20,,,,,
1,20,1.8,4,2,-1,,20,20,20,20,,,,,
1,21,1.8,4,2,-1,,20,20,20,20,,,,,
1,22,1.8,4,2,-1,,20,20,20,20,,,,,
1,23,1.8,10,2,-1,,20,20,20,20,,,,,
1,24,1.8,4,2,-1,,20,20,20,20,,,,,
1,25,1.6,10,2,-1,,20,20,20,20,,,,,
1,26,1.6,4,2,-1,,20,20,20,20,,,,,
1,27,1.6,10,2,-1,,20,20,20,20,,,,,
1,28,1.6,4,2,-1,,20,20,20,20,,,,,
1,29,1.6,4,2,-1,,20,20,20,20,,,,,
1,0,40,3,0,1,,20,20,20,20,,,,,
1,1,0,3,0,2,,20,20,20,20,,,,,
1,2,1.5,10,0,0,,20,20,20,20,,,,,
1,3,2.5,3,0,1,,20,20,20,20,,,,,
1,4,0,3,0,2,,20,20,20,20,,,,,
1,5,1.5,10,0,0,,20,20,20,20,,,,,
1,6,2.5,3,0,1,,20,20,20,20,,,,,
1,7,0,3,0,2,,20,20,20,20,,,,,
1,8,1.5,10,0,0,,20,20,20,20,,,,,
1,9,2.5,3,0,1,,20,20,20,20,,,,,
1,10,0,3,0,2,,20,20,20,20,,,,,
1,11,1.5,10,0,0,,20,20,20,20,,,,,
1,12,2.5,3,0,1,,20,20,20,20,,,,,
1,13,0,3,0,2,,20,20,20,20,,,,,
1,14,1.5,10,0,0,,20,20,20,20,,,,,
1,15,2.5,3,0,1,,20,20,20,20,,,,,
1,16,0,3,0,2,,20,20,20,20,,,,,
1,17,1.5,10,0,0,,20,20,20,20,,,,,
2,0,0,10,2,-1,,30,30,30,30,,,,,
2,1,2.2,10,2,-1,,30,30,30,30,,,,,
2,2,2.2,10,2,-1,,30,30,30,30,,,,,
2,3,2.2,15,2,-1,,30,30,30,30,,,,,
2,4,2.2,10,2,-1,,30,30,30,30,,,,,
2,5,2.2,10,2,-1,,30,30,30,30,,,,,
2,6,2.2,10,2,-1,,30,30,30,30,,,,,
2,7,2.2,10,2,-1,,30,30,30,30,,,,,
2,8,2.2,10,2,-1,,30,30,30,30,,,,,
2,9,2,15,2,-1,,30,30,30,30,,,,,
2,10,2,10,2,-1,,30,30,30,30,,,,,
2,11,2,10,2,-1,,30,30,30,30,,,,,
2,12,2,10,2,-1,,30,30,30,30,,,,,
2,13,2,10,2,-1,,30,30,30,30,,,,,
2,14,2,15,2,-1,,30,30,30,30,,,,,
2,15,2,15,2,-1,,30,30,30,30,,,,,
2,16,2,10,2,-1,,30,30,30,30,,,,,
2,17,2,10,2,-1,,30,30,30,30,,,,,
2,18,1.8,10,2,-1,,30,30,30,30,,,,,
2,19,1.8,10,2,-1,,30,30,30,30,,,,,
2,20,1.8,15,2,-1,,30,30,30,30,,,,,
2,21,1.8,10,2,-1,,30,30,30,30,,,,,
2,22,1.8,10,2,-1,,30,30,30,30,,,,,
2,23,1.8,10,2,-1,,30,30,30,30,,,,,
2,24,1.8,15,2,-1,,30,30,30,30,,,,,
2,25,1.8,15,2,-1,,30,30,30,30,,,,,
2,26,1.6,10,2,-1,,30,30,30,30,,,,,
2,27,1.6,10,2,-1,,30,30,30,30,,,,,
2,28,1.6,15,2,-1,,30,30,30,30,,,,,
2,29,1.6,10,2,-1,,30,30,30,30,,,,,
2,30,1.6,10,2,-1,,30,30,30,30,,,,,
2,0,14,3,1,1,,30,30,30,30,,,,,
2,1,0,3,1,0,,30,30,30,30,,,,,
2,2,1.8,3,1,0,,30,30,30,30,,,,,
2,3,0,10,1,2,,30,30,30,30,,,,,
2,4,1.8,3,1,1,,30,30,30,30,,,,,
2,5,0,3,1,0,,30,30,30,30,,,,,
2,6,1.8,3,1,0,,30,30,30,30,,,,,
2,7,0,10,1,2,,30,30,30,30,,,,,
2,8,1.8,3,1,1,,30,30,30,30,,,,,
2,9,0,3,1,0,,30,30,30,30,,,,,
2,10,1.8,3,1,0,,30,30,30,30,,,,,
2,11,0,10,1,2,,30,30,30,30,,,,,
2,12,1.8,3,1,1,,30,30,30,30,,,,,
2,13,0,3,1,0,,30,30,30,30,,,,,
2,14,1.8,3,1,0,,30,30,30,30,,,,,
2,15,0,10,1,2,,30,30,30,30,,,,,
2,16,1.8,3,1,1,,30,30,30,30,,,,,
2,17,0,3,1,0,,30,30,30,30,,,,,
2,18,1.8,3,1,0,,30,30,30,30,,,,,
2,19,0,10,1,2,,30,30,30,30,,,,,
2,20,1.8,3,1,1,,30,30,30,30,,,,,
2,21,0,3,1,0,,30,30,30,30,,,,,
2,22,1.8,3,1,0,,30,30,30,30,,,,,
2,23,0,10,1,2,,30,30,30,30,,,,,
2,24,1.8,3,1,1,,30,30,30,30,,,,,
2,25,0,3,1,0,,30,30,30,30,,,,,
2,26,1.8,3,1,0,,30,30,30,30,,,,,
2,27,0,10,1,2,,30,30,30,30,,,,,
2,28,1.8,3,1,1,,30,30,30,30,,,,,
2,29,0,3,1,0,,30,30,30,30,,,,,
2,30,1.8,3,1,0,,30,30,30,30,,,,,
2,31,0,10,1,2,,30,30,30,30,,,,,
2,0,30,4,0,-1,,30,30,30,30,,,,,
2,1,2,4,0,-1,,30,30,30,30,,,,,
2,2,2,4,0,-1,,30,30,30,30,,,,,
2,3,2,10,0,-1,,30,30,30,30,,,,,
2,4,2,4,0,-1,,30,30,30,30,,,,,
2,5,2,4,0,-1,,30,30,30,30,,,,,
2,6,2,4,0,-1,,30,30,30,30,,,,,
2,7,2,4,0,-1,,30,30,30,30,,,,,
2,8,2,10,0,-1,,30,30,30,30,,,,,
2,9,2,10,0,-1,,30,30,30,30,,,,,
2,10,1.8,4,0,-1,,30,30,30,30,,,,,
2,11,1.8,4,0,-1,,30,30,30,30,,,,,
2,12,1.8,4,0,-1,,30,30,30,30,,,,,
2,13,1.8,10,0,-1,,30,30,30,30,,,,,
2,14,1.8,10,0,-1,,30,30,30,30,,,,,
2,15,1.8,4,0,-1,,30,30,30,30,,,,,
2,16,1.8,4,0,-1,,30,30,30,30,,,,,
2,17,1.8,4,0,-1,,30,30,30,30,,,,,
2,18,1.8,10,0,-1,,30,30,30,30,,,,,
2,19,1.8,10,0,-1,,30,30,30,30,,,,,
2,20,1.4,4,0,-1,,30,30,30,30,,,,,
3,0,0,3,1,1,,40,40,40,40,,,,,
3,1,0,3,1,0,,40,40,40,40,,,,,
3,2,1.4,6,1,0,,40,40,40,40,,,,,
3,3,0,6,1,2,,40,40,40,40,,,,,
3,4,1.6,3,1,1,,40,40,40,40,,,,,
3,5,0,3,1,0,,40,40,40,40,,,,,
3,6,1.4,6,1,0,,40,40,40,40,,,,,
3,7,0,6,1,2,,40,40,40,40,,,,,
3,8,1.6,3,1,1,,40,40,40,40,,,,,
3,9,0,3,1,0,,40,40,40,40,,,,,
3,10,1.4,6,1,0,,40,40,40,40,,,,,
3,11,0,6,1,2,,40,40,40,40,,,,,
3,12,1.6,3,1,1,,40,40,40,40,,,,,
3,13,0,3,1,0,,40,40,40,40,,,,,
3,14,1.4,6,1,0,,40,40,40,40,,,,,
3,15,0,6,1,2,,40,40,40,40,,,,,
3,16,1.6,3,1,1,,40,40,40,40,,,,,
3,17,0,3,1,0,,40,40,40,40,,,,,
3,18,1.4,6,1,0,,40,40,40,40,,,,,
3,19,0,6,1,2,,40,40,40,40,,,,,
3,20,1.6,3,1,1,,40,40,40,40,,,,,
3,21,0,3,1,0,,40,40,40,40,,,,,
3,22,1.4,6,1,0,,40,40,40,40,,,,,
3,23,0,6,1,2,,40,40,40,40,,,,,
3,24,1.6,3,1,1,,40,40,40,40,,,,,
3,25,0,3,1,0,,40,40,40,40,,,,,
3,26,1.4,6,1,0,,40,40,40,40,,,,,
3,27,0,6,1,2,,40,40,40,40,,,,,
3,28,1.6,3,1,1,,40,40,40,40,,,,,
3,29,0,3,1,0,,40,40,40,40,,,,,
