wave,no,time,enemy_id,gate,lane,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,0,1,1,,,,,,,3000,1,20,20
0,1,1.1,0,1,0,,,,,,,,,,
0,2,0,1,1,1,,,,,,,,,,
0,3,1.1,0,1,2,,,,,,,,,,
0,4,0,1,1,0,,,,,,,,,,
0,5,2.5,0,1,1,,,,,,,,,,
0,6,1.1,0,1,0,,,,,,,,,,
0,7,0,1,1,1,,,,,,,,,,
0,8,1.1,0,1,2,,,,,,,,,,
0,9,0,1,1,0,,,,,,,,,,
0,10,2.5,0,1,1,,,,,,,,,,
0,11,1.1,0,1,0,,,,,,,,,,
0,12,0,1,1,1,,,,,,,,,,
0,13,1.1,0,1,2,,,,,,,,,,
0,14,0,1,1,0,,,,,,,,,,
0,15,2.5,0,1,1,,,,,,,,,,
0,16,0,0,1,0,,,,,,,,,,
0,17,0.8,0,1,1,,,,,,,,,,
0,18,0,0,1,0,,,,,,,,,,
0,19,1.5,1,1,1,,,,,,,,,,
0,20,0,1,1,0,,,,,,,,,,
0,21,2,0,1,2,,,,,,,,,,
0,22,0,0,1,0,,,,,,,,,,
0,23,0.8,0,1,2,,,,,,,,,,
0,24,0,0,1,0,,,,,,,,,,
0,25,1.5,1,1,2,,,,,,,,,,
0,26,0,1,1,0,,,,,,,,,,
0,27,2,0,1,1,,,,,,,,,,
0,28,0,0,1,2,,,,,,,,,,
0,29,0,0,1,0,,,,,,,,,,
0,30,0.8,0,1,1,,,,,,,,,,
0,31,0,0,1,2,,,,,,,,,,
0,32,0,0,1,0,,,,,,,,,,
0,33,1.5,1,1,1,,,,,,,,,,
0,34,0,1,1,2,,,,,,,,,,
0,35,0,1,1,0,,,,,,,,,,
0,0,10,0,2,2,,,,,,,,,,
0,1,1.1,0,2,0,,,,,,,,,,
0,2,0,2,2,2,,,,,,,,,,
0,3,1.1,0,2,1,,,,,,,,,,
0,4,0,2,2,0,,,,,,,,,,
0,5,2,0,2,2,,,,,,,,,,
0,6,1.1,0,2,0,,,,,,,,,,
0,7,0,2,2,2,,,,,,,,,,
0,8,1.1,0,2,1,,,,,,,,,,
0,9,0,2,2,0,,,,,,,,,,
0,10,2,0,2,0,,,,,,,,,,
0,11,0,0,2,2,,,,,,,,,,
0,12,0.8,0,2,0,,,,,,,,,,
0,13,0,0,2,2,,,,,,,,,,
0,14,1.5,2,2,0,,,,,,,,,,
0,15,0,2,2,2,,,,,,,,,,
0,16,2,0,2,1,,,,,,,,,,
0,17,0,0,2,2,,,,,,,,,,
0,18,0,0,2,0,,,,,,,,,,
0,19,0.8,0,2,1,,,,,,,,,,
0,20,0,0,2,2,,,,,,,,,,
0,21,0,0,2,0,,,,,,,,,,
0,22,1.5,2,2,1,,,,,,,,,,
0,23,0,2,2,2,,,,,,,,,,
0,24,0,2,2,0,,,,,,,,,,
0,25,2,0,2,1,,,,,,,,,,
0,26,0,0,2,0,,,,,,,,,,
0,27,0.8,0,2,1,,,,,,,,,,
0,28,0,0,2,0,,,,,,,,,,
0,29,1.5,2,2,1,,,,,,,,,,
0,30,0,2,2,0,,,,,,,,,,
0,31,2,0,2,1,,,,,,,,,,
0,32,0,0,2,2,,,,,,,,,,
0,33,0,0,2,0,,,,,,,,,,
0,34,0.8,0,2,1,,,,,,,,,,
0,35,0,0,2,2,,,,,,,,,,
0,36,0,0,2,0,,,,,,,,,,
0,37,1.5,2,2,1,,,,,,,,,,
0,38,0,2,2,2,,,,,,,,,,
0,39,0,2,2,0,,,,,,,,,,
1,0,0,3,0,1,,20,20,20,20,,,,,
1,1,0,3,0,0,,20,20,20,20,,,,,
1,2,1.5,1,0,2,,20,20,20,20,,,,,
1,3,2,3,0,2,,20,20,20,20,,,,,
1,4,0,3,0,0,,20,20,20,20,,,,,
1,5,1.5,1,0,1,,20,20,20,20,,,,,
1,6,2,3,0,0,,20,20,20,20,,,,,
1,7,0,3,0,1,,20,20,20,20,,,,,
1,8,0,3,0,2,,20,20,20,20,,,,,
1,9,0.6,1,0,1,,20,20,20,20,,,,,
1,10,0,1,0,2,,20,20,20,20,,,,,
1,11,0,1,0,0,,20,20,20,20,,,,,
1,12,2,32,0,0,,20,20,20,20,,,,,
1,13,0,32,0,1,,20,20,20,20,,,,,
1,14,0,32,0,2,,20,20,20,20,,,,,
1,15,0.6,1,0,1,,20,20,20,20,,,,,
1,16,0,1,0,2,,20,20,20,20,,,,,
1,17,0,1,0,0,,20,20,20,20,,,,,
