wave,no,time,enemy_id,gate,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,0,2,,,,,,,3000,1,20,20
0,1,1,0,2,,,,,,,,,,
0,2,1,1,2,,,,,,,,,,
0,3,1,1,2,,,,,,,,,,
0,4,1,1,2,,,,,,,,,,
0,5,1.3,3,2,,,,,,,,,,
0,6,1.6,3,2,,,,,,,,,,
0,7,1.6,3,2,,,,,,,,,,
0,8,0.5,0,2,,,,,,,,,,
0,9,1,1,2,,,,,,,,,,
0,10,2,3,2,,,,,,,,,,
0,11,1.1,3,2,,,,,,,,,,
0,12,1.1,32,2,,,,,,,,,,
0,13,1.1,3,2,,,,,,,,,,
0,14,1.1,32,2,,,,,,,,,,
0,15,1.8,32,2,,,,,,,,,,
0,16,0.8,0,2,,,,,,,,,,
0,17,0.8,0,2,,,,,,,,,,
0,18,0.8,0,2,,,,,,,,,,
0,19,0.8,2,2,,,,,,,,,,
0,20,0.8,2,2,,,,,,,,,,
0,21,0.8,2,2,,,,,,,,,,
0,22,6,0,2,,,,,,,,,,
0,23,0.8,0,2,,,,,,,,,,
0,24,0.8,0,2,,,,,,,,,,
0,25,0.8,1,2,,,,,,,,,,
0,26,0.8,1,2,,,,,,,,,,
0,27,0.8,1,2,,,,,,,,,,
0,0,0.5,0,1,,,,,,,,,,
0,1,1,0,1,,,,,,,,,,
0,2,1,1,1,,,,,,,,,,
0,3,1,1,1,,,,,,,,,,
0,4,1,1,1,,,,,,,,,,
0,5,1.6,3,1,,,,,,,,,,
0,6,1.6,3,1,,,,,,,,,,
0,7,0.8,0,1,,,,,,,,,,
0,8,1,1,1,,,,,,,,,,
0,9,1,1,1,,,,,,,,,,
0,10,7.2,3,1,,,,,,,,,,
0,11,1.9,32,1,,,,,,,,,,
0,12,1.8,3,1,,,,,,,,,,
0,13,1.5,32,1,,,,,,,,,,
0,14,1.5,3,1,,,,,,,,,,
0,15,1.9,32,1,,,,,,,,,,
0,16,6.5,3,1,,,,,,,,,,
0,17,1.9,3,1,,,,,,,,,,
0,18,1.8,32,1,,,,,,,,,,
0,19,1.5,32,1,,,,,,,,,,
0,20,1.5,3,1,,,,,,,,,,
0,21,1.9,3,1,,,,,,,,,,
0,0,28,0,3,,,,,,,,,,
0,1,1.4,0,3,,,,,,,,,,
0,2,1.4,0,3,,,,,,,,,,
0,3,0.7,1,3,,,,,,,,,,
0,4,0.6,1,3,,,,,,,,,,
0,5,0.6,1,3,,,,,,,,,,
0,6,1.3,3,3,,,,,,,,,,
0,7,2,32,3,,,,,,,,,,
0,8,2,32,3,,,,,,,,,,
0,9,2,32,3,,,,,,,,,,
0,10,2,32,3,,,,,,,,,,
0,0,28,0,0,,,,,,,,,,
0,1,1.4,0,0,,,,,,,,,,
0,2,1.4,0,0,,,,,,,,,,
0,3,0.3,1,0,,,,,,,,,,
0,4,0.6,1,0,,,,,,,,,,
0,5,0.6,3,0,,,,,,,,,,
0,6,2,3,0,,,,,,,,,,
0,7,2,32,0,,,,,,,,,,
0,8,2,32,0,,,,,,,,,,
0,9,2,32,0,,,,,,,,,,
1,0,0.5,5,1,,20,20,20,20,,,,,
1,1,1,0,1,,20,20,20,20,,,,,
1,2,1,0,1,,20,20,20,20,,,,,
1,3,1,1,1,,20,20,20,20,,,,,
1,4,1,1,1,,20,20,20,20,,,,,
1,5,1.8,3,1,,20,20,20,20,,,,,
1,6,1.8,3,1,,20,20,20,20,,,,,
1,7,1.8,10,1,,20,20,20,20,,,,,
1,8,1.8,10,1,,20,20,20,20,,,,,
1,9,1.4,5,1,,20,20,20,20,,,,,
1,10,1,0,1,,20,20,20,20,,,,,
1,11,1,2,1,,20,20,20,20,,,,,
1,12,1,2,1,,20,20,20,20,,,,,
1,13,2.1,3,1,,20,20,20,20,,,,,
1,14,1.8,3,1,,20,20,20,20,,,,,
1,15,1.8,10,1,,20,20,20,20,,,,,
1,16,1.8,10,1,,20,20,20,20,,,,,
1,17,8,3,1,,20,20,20,20,,,,,
1,18,2,3,1,,20,20,20,20,,,,,
1,19,1.7,1,1,,20,20,20,20,,,,,
1,20,1,1,1,,20,20,20,20,,,,,
1,21,1,1,1,,20,20,20,20,,,,,
1,22,2.2,3,1,,20,20,20,20,,,,,
1,23,2.2,3,1,,20,20,20,20,,,,,
1,24,1.2,2,1,,20,20,20,20,,,,,
1,25,1.2,2,1,,20,20,20,20,,,,,
1,26,1.8,32,1,,20,20,20,20,,,,,
1,27,2.2,3,1,,20,20,20,20,,,,,
1,28,1.2,1,1,,20,20,20,20,,,,,
1,29,1.2,1,1,,20,20,20,20,,,,,
1,30,3,32,1,,20,20,20,20,,,,,
1,31,2.2,10,1,,20,20,20,20,,,,,
1,32,1.2,2,1,,20,20,20,20,,,,,
1,33,1.2,2,1,,20,20,20,20,,,,,
1,34,1.8,32,1,,20,20,20,20,,,,,
1,35,2.2,10,1,,20,20,20,20,,,,,
1,36,1.2,1,1,,20,20,20,20,,,,,
1,37,1.2,1,1,,20,20,20,20,,,,,
1,0,1,5,3,,20,20,20,20,,,,,
1,1,1,0,3,,20,20,20,20,,,,,
1,2,1,1,3,,20,20,20,20,,,,,
1,3,1,1,3,,20,20,20,20,,,,,
1,4,1.4,3,3,,20,20,20,20,,,,,
1,5,1.8,3,3,,20,20,20,20,,,,,
1,6,1.8,10,3,,20,20,20,20,,,,,
1,7,1.8,10,3,,20,20,20,20,,,,,
1,8,1.8,10,3,,20,20,20,20,,,,,
1,9,1,5,3,,20,20,20,20,,,,,
1,10,1,0,3,,20,20,20,20,,,,,
1,11,1,2,3,,20,20,20,20,,,,,
1,12,1,2,3,,20,20,20,20,,,,,
1,13,0.9,3,3,,20,20,20,20,,,,,
1,14,1.8,3,3,,20,20,20,20,,,,,
1,15,1.8,10,3,,20,20,20,20,,,,,
1,16,1.8,10,3,,20,20,20,20,,,,,
1,17,1.8,10,3,,20,20,20,20,,,,,
1,18,0.6,4,3,,20,20,20,20,,,,,
1,19,1.2,4,3,,20,20,20,20,,,,,
1,20,1.2,4,3,,20,20,20,20,,,,,
1,21,1.2,6,3,,20,20,20,20,,,,,
1,22,1.2,4,3,,20,20,20,20,,,,,
1,23,1.2,6,3,,20,20,20,20,,,,,
1,24,1.2,6,3,,20,20,20,20,,,,,
1,25,1.2,4,3,,20,20,20,20,,,,,
1,26,1.2,6,3,,20,20,20,20,,,,,
1,0,20,4,2,,20,20,20,20,,,,,
1,1,1.2,4,2,,20,20,20,20,,,,,
1,2,1.2,4,2,,20,20,20,20,,,,,
1,3,1.2,6,2,,20,20,20,20,,,,,
1,4,1.2,6,2,,20,20,20,20,,,,,
1,5,1.2,4,2,,20,20,20,20,,,,,
1,6,1.2,6,2,,20,20,20,20,,,,,
1,7,1.2,4,2,,20,20,20,20,,,,,
1,8,1.2,6,2,,20,20,20,20,,,,,
1,0,20.1,3,0,,20,20,20,20,,,,,
1,1,2,3,0,,20,20,20,20,,,,,
1,2,1,1,0,,20,20,20,20,,,,,
1,3,1,1,0,,20,20,20,20,,,,,
1,4,1.7,3,0,,20,20,20,20,,,,,
1,5,2,3,0,,20,20,20,20,,,,,
1,6,1.8,2,0,,20,20,20,20,,,,,
1,7,1.2,2,0,,20,20,20,20,,,,,
1,8,1.2,2,0,,20,20,20,20,,,,,
1,9,2,3,0,,20,20,20,20,,,,,
1,10,1.8,1,0,,20,20,20,20,,,,,
1,11,1.2,1,0,,20,20,20,20,,,,,
1,12,1.2,1,0,,20,20,20,20,,,,,
1,13,1.2,3,0,,20,20,20,20,,,,,
1,14,2,10,0,,20,20,20,20,,,,,
1,15,1.8,2,0,,20,20,20,20,,,,,
1,16,1.2,2,0,,20,20,20,20,,,,,
1,17,1.2,2,0,,20,20,20,20,,,,,
1,18,2,10,0,,20,20,20,20,,,,,
1,19,1.8,1,0,,20,20,20,20,,,,,
1,20,1.2,1,0,,20,20,20,20,,,,,
1,21,1.2,1,0,,20,20,20,20,,,,,
2,0,0,3,0,,30,30,30,30,,,,,
2,1,1,3,0,,30,30,30,30,,,,,
2,2,0.8,7,0,,30,30,30,30,,,,,
2,3,0.4,7,0,,30,30,30,30,,,,,
2,4,0.8,32,0,,30,30,30,30,,,,,
2,5,1.4,32,0,,30,30,30,30,,,,,
2,6,1,7,0,,30,30,30,30,,,,,
2,7,1.1,7,0,,30,30,30,30,,,,,
2,8,0.7,32,0,,30,30,30,30,,,,,
2,9,0.8,3,0,,30,30,30,30,,,,,
2,10,0.7,7,0,,30,30,30,30,,,,,
2,11,0.6,7,0,,30,30,30,30,,,,,
2,12,11.3,10,0,,30,30,30,30,,,,,
2,13,1.5,32,0,,30,30,30,30,,,,,
2,14,1.7,32,0,,30,30,30,30,,,,,
2,15,1.8,5,0,,30,30,30,30,,,,,
2,16,1.4,10,0,,30,30,30,30,,,,,
2,17,1.6,10,0,,30,30,30,30,,,,,
2,18,1.9,10,0,,30,30,30,30,,,,,
2,19,1.5,10,0,,30,30,30,30,,,,,
2,20,2,5,0,,30,30,30,30,,,,,
2,21,1.8,10,0,,30,30,30,30,,,,,
2,22,1.2,10,0,,30,30,30,30,,,,,
2,23,1.2,10,0,,30,30,30,30,,,,,
2,24,1.2,10,0,,30,30,30,30,,,,,
2,0,6.3,5,2,,30,30,30,30,,,,,
2,1,2.2,3,2,,30,30,30,30,,,,,
2,2,2.4,32,2,,30,30,30,30,,,,,
2,3,1.2,10,2,,30,30,30,30,,,,,
2,4,1.9,10,2,,30,30,30,30,,,,,
2,5,1.2,32,2,,30,30,30,30,,,,,
2,6,2,32,2,,30,30,30,30,,,,,
2,7,10,4,2,,30,30,30,30,,,,,
2,8,1.4,4,2,,30,30,30,30,,,,,
2,9,2.4,4,2,,30,30,30,30,,,,,
2,10,1.6,32,2,,30,30,30,30,,,,,
2,11,1.9,4,2,,30,30,30,30,,,,,
2,12,1.4,32,2,,30,30,30,30,,,,,
2,13,2,6,2,,30,30,30,30,,,,,
2,14,1.8,32,2,,30,30,30,30,,,,,
2,15,1.2,32,2,,30,30,30,30,,,,,
2,16,1.8,6,2,,30,30,30,30,,,,,
2,17,1.4,6,2,,30,30,30,30,,,,,
2,0,40,5,3,,30,30,30,30,,,,,
2,1,1.2,3,3,,30,30,30,30,,,,,
2,2,1.5,32,3,,30,30,30,30,,,,,
2,3,1.7,3,3,,30,30,30,30,,,,,
2,4,1.2,10,3,,30,30,30,30,,,,,
2,5,1.5,10,3,,30,30,30,30,,,,,
2,6,1.2,10,3,,30,30,30,30,,,,,
2,7,1,10,3,,30,30,30,30,,,,,
2,8,1,10,3,,30,30,30,30,,,,,
2,9,1.5,5,3,,30,30,30,30,,,,,
2,10,1.5,32,3,,30,30,30,30,,,,,
2,11,1.8,32,3,,30,30,30,30,,,,,
2,12,1.4,32,3,,30,30,30,30,,,,,
2,13,1.6,10,3,,30,30,30,30,,,,,
2,0,42.2,10,1,,30,30,30,30,,,,,
2,1,1.4,10,1,,30,30,30,30,,,,,
2,2,1.2,10,1,,30,30,30,30,,,,,
2,3,1.2,10,1,,30,30,30,30,,,,,
2,4,1.7,5,1,,30,30,30,30,,,,,
2,5,1.5,32,1,,30,30,30,30,,,,,
2,6,1.7,32,1,,30,30,30,30,,,,,
2,7,1.8,32,1,,30,30,30,30,,,,,
2,8,1.8,10,1,,30,30,30,30,,,,,
2,9,1.7,10,1,,30,30,30,30,,,,,
2,10,2.2,10,1,,30,30,30,30,,,,,
3,0,0,4,0,,40,40,40,40,,,,,
3,1,0.5,6,0,,40,40,40,40,,,,,
3,2,0.6,4,0,,40,40,40,40,,,,,
3,3,0.5,6,0,,40,40,40,40,,,,,
3,4,1.3,32,0,,40,40,40,40,,,,,
3,5,1.3,6,0,,40,40,40,40,,,,,
3,6,1.3,32,0,,40,40,40,40,,,,,
3,7,1.3,32,0,,40,40,40,40,,,,,
3,8,0.7,4,0,,40,40,40,40,,,,,
3,9,1.3,32,0,,40,40,40,40,,,,,
3,10,0.5,32,0,,40,40,40,40,,,,,
3,11,0.6,6,0,,40,40,40,40,,,,,
3,12,0.8,32,0,,40,40,40,40,,,,,
3,13,0.8,6,0,,40,40,40,40,,,,,
3,14,0.8,4,0,,40,40,40,40,,,,,
3,15,0.8,32,0,,40,40,40,40,,,,,
3,16,0.8,32,0,,40,40,40,40,,,,,
3,17,0.8,6,0,,40,40,40,40,,,,,
3,18,0.8,4,0,,40,40,40,40,,,,,
3,19,0.8,6,0,,40,40,40,40,,,,,
3,0,14,5,2,,40,40,40,40,,,,,
3,1,0.6,7,2,,40,40,40,40,,,,,
3,2,0.7,7,2,,40,40,40,40,,,,,
3,3,0.6,5,2,,40,40,40,40,,,,,
3,4,0.8,7,2,,40,40,40,40,,,,,
3,5,0.6,7,2,,40,40,40,40,,,,,
3,6,0.7,7,2,,40,40,40,40,,,,,
3,7,0.6,5,2,,40,40,40,40,,,,,
3,8,0.8,7,2,,40,40,40,40,,,,,
3,9,0.6,7,2,,40,40,40,40,,,,,
3,10,0.8,5,2,,40,40,40,40,,,,,
3,11,0.6,7,2,,40,40,40,40,,,,,
3,12,0.8,7,2,,40,40,40,40,,,,,
3,13,0.6,7,2,,40,40,40,40,,,,,
3,0,20.5,5,1,,40,40,40,40,,,,,
3,1,1.5,5,1,,40,40,40,40,,,,,
3,2,1.6,3,1,,40,40,40,40,,,,,
3,3,1.8,3,1,,40,40,40,40,,,,,
3,4,1,3,1,,40,40,40,40,,,,,
3,5,1,5,1,,40,40,40,40,,,,,
3,6,1.2,10,1,,40,40,40,40,,,,,
3,7,1.5,10,1,,40,40,40,40,,,,,
3,8,1.7,10,1,,40,40,40,40,,,,,
