wave,no,time,enemy_id,gate,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,15,0,,,,,,,3000,1,20,20
0,1,1,7,0,,,,,,,,,,
0,2,1,7,0,,,,,,,,,,
0,3,1,7,0,,,,,,,,,,
0,4,1,7,0,,,,,,,,,,
0,5,1,15,0,,,,,,,,,,
0,6,1,7,0,,,,,,,,,,
0,7,1,7,0,,,,,,,,,,
0,8,1,7,0,,,,,,,,,,
0,9,1,7,0,,,,,,,,,,
0,10,1,15,0,,,,,,,,,,
0,11,1,7,0,,,,,,,,,,
0,12,1,7,0,,,,,,,,,,
0,13,1,7,0,,,,,,,,,,
0,14,1,7,0,,,,,,,,,,
0,0,14,4,2,,,,,,,,,,
0,1,1,4,2,,,,,,,,,,
0,2,1,4,2,,,,,,,,,,
0,3,1,4,2,,,,,,,,,,
0,4,1,4,2,,,,,,,,,,
0,5,1,4,2,,,,,,,,,,
0,6,1,4,2,,,,,,,,,,
0,7,1,4,2,,,,,,,,,,
0,8,1,4,2,,,,,,,,,,
0,9,1,4,2,,,,,,,,,,
0,10,1,4,2,,,,,,,,,,
0,11,1,4,2,,,,,,,,,,
0,12,1,4,2,,,,,,,,,,
0,13,1,4,2,,,,,,,,,,
0,14,1,4,2,,,,,,,,,,
0,15,1,4,2,,,,,,,,,,
0,16,1,4,2,,,,,,,,,,
0,17,1,4,2,,,,,,,,,,
0,18,1,4,2,,,,,,,,,,
0,19,1,4,2,,,,,,,,,,
0,20,1,4,2,,,,,,,,,,
0,0,14.5,6,3,,,,,,,,,,
0,1,1,6,3,,,,,,,,,,
0,2,1,6,3,,,,,,,,,,
0,3,1,6,3,,,,,,,,,,
0,4,1,6,3,,,,,,,,,,
0,5,1,6,3,,,,,,,,,,
0,6,1,6,3,,,,,,,,,,
0,7,1,6,3,,,,,,,,,,
0,8,1,6,3,,,,,,,,,,
0,9,1,6,3,,,,,,,,,,
0,10,1,6,3,,,,,,,,,,
0,11,1,6,3,,,,,,,,,,
0,12,1,6,3,,,,,,,,,,
0,13,1,6,3,,,,,,,,,,
0,14,1,6,3,,,,,,,,,,
0,15,1,6,3,,,,,,,,,,
0,16,1,6,3,,,,,,,,,,
0,17,1,6,3,,,,,,,,,,
0,18,1,6,3,,,,,,,,,,
0,19,1,6,3,,,,,,,,,,
0,20,1,6,3,,,,,,,,,,
0,0,20.5,15,0,,,,,,,,,,
0,1,1,7,0,,,,,,,,,,
0,2,1,7,0,,,,,,,,,,
0,3,1,7,0,,,,,,,,,,
0,4,1,7,0,,,,,,,,,,
0,5,1,15,0,,,,,,,,,,
0,6,1,7,0,,,,,,,,,,
0,7,1,7,0,,,,,,,,,,
0,8,1,7,0,,,,,,,,,,
0,9,1,7,0,,,,,,,,,,
1,0,0,5,3,,20,20,20,20,,,,,
1,1,1.4,7,3,,20,20,20,20,,,,,
1,2,1.4,7,3,,20,20,20,20,,,,,
1,3,1.4,5,3,,20,20,20,20,,,,,
1,4,1.4,7,3,,20,20,20,20,,,,,
1,5,1.4,7,3,,20,20,20,20,,,,,
1,6,1.4,5,3,,20,20,20,20,,,,,
1,7,1.4,7,3,,20,20,20,20,,,,,
1,8,1.4,7,3,,20,20,20,20,,,,,
1,9,1.4,5,3,,20,20,20,20,,,,,
1,10,1.4,7,3,,20,20,20,20,,,,,
1,11,1.4,7,3,,20,20,20,20,,,,,
1,12,1.4,5,3,,20,20,20,20,,,,,
1,13,1.4,7,3,,20,20,20,20,,,,,
1,0,1.4,7,1,,20,20,20,20,,,,,
1,1,1.4,5,1,,20,20,20,20,,,,,
1,2,1.4,7,1,,20,20,20,20,,,,,
1,3,1.4,7,1,,20,20,20,20,,,,,
1,4,1.4,5,1,,20,20,20,20,,,,,
1,5,1.4,7,1,,20,20,20,20,,,,,
1,6,1.4,7,1,,20,20,20,20,,,,,
1,7,1.4,5,1,,20,20,20,20,,,,,
1,8,1.4,7,1,,20,20,20,20,,,,,
1,9,1.4,7,1,,20,20,20,20,,,,,
1,10,1.4,5,1,,20,20,20,20,,,,,
1,11,1.4,7,1,,20,20,20,20,,,,,
1,12,1.4,7,1,,20,20,20,20,,,,,
1,13,1.4,5,1,,20,20,20,20,,,,,
1,14,3.6,15,1,,20,20,20,20,,,,,
1,15,0.8,4,1,,20,20,20,20,,,,,
1,16,0.8,15,1,,20,20,20,20,,,,,
1,17,0.8,4,1,,20,20,20,20,,,,,
1,18,4.8,15,1,,20,20,20,20,,,,,
1,19,0.8,6,1,,20,20,20,20,,,,,
1,20,0.8,15,1,,20,20,20,20,,,,,
1,21,0.8,6,1,,20,20,20,20,,,,,
1,22,4.8,15,1,,20,20,20,20,,,,,
1,23,0.8,4,1,,20,20,20,20,,,,,
1,24,0.8,15,1,,20,20,20,20,,,,,
1,25,0.8,4,1,,20,20,20,20,,,,,
1,0,19.6,15,2,,20,20,20,20,,,,,
1,1,0.8,4,2,,20,20,20,20,,,,,
1,2,0.8,15,2,,20,20,20,20,,,,,
1,3,0.8,4,2,,20,20,20,20,,,,,
1,4,4.8,15,2,,20,20,20,20,,,,,
1,5,0.8,6,2,,20,20,20,20,,,,,
1,6,0.8,15,2,,20,20,20,20,,,,,
1,7,0.8,6,2,,20,20,20,20,,,,,
1,8,4.8,15,2,,20,20,20,20,,,,,
1,9,0.8,4,2,,20,20,20,20,,,,,
1,10,0.8,15,2,,20,20,20,20,,,,,
1,11,0.8,4,2,,20,20,20,20,,,,,
1,12,4.8,15,2,,20,20,20,20,,,,,
2,0,0,14,1,,30,30,30,30,,,,,
2,1,2.5,14,1,,30,30,30,30,,,,,
2,2,2,32,1,,30,30,30,30,,,,,
2,3,2.3,14,1,,30,30,30,30,,,,,
2,4,2,14,1,,30,30,30,30,,,,,
2,5,1.8,32,1,,30,30,30,30,,,,,
2,6,2,14,1,,30,30,30,30,,,,,
2,7,2.3,32,1,,30,30,30,30,,,,,
2,8,1.8,32,1,,30,30,30,30,,,,,
2,9,2.3,32,1,,30,30,30,30,,,,,
2,10,20.2,15,1,,30,30,30,30,,,,,
2,11,1,4,1,,30,30,30,30,,,,,
2,12,1,15,1,,30,30,30,30,,,,,
2,13,1,4,1,,30,30,30,30,,,,,
2,14,1,15,1,,30,30,30,30,,,,,
2,15,1,4,1,,30,30,30,30,,,,,
2,16,1,4,1,,30,30,30,30,,,,,
2,17,1,6,1,,30,30,30,30,,,,,
2,18,1,6,1,,30,30,30,30,,,,,
2,19,1,15,1,,30,30,30,30,,,,,
2,20,1,6,1,,30,30,30,30,,,,,
2,21,1,15,1,,30,30,30,30,,,,,
2,22,1,6,1,,30,30,30,30,,,,,
2,23,1,15,1,,30,30,30,30,,,,,
2,24,1,4,1,,30,30,30,30,,,,,
2,25,1,4,1,,30,30,30,30,,,,,
2,26,1,6,1,,30,30,30,30,,,,,
2,27,1,6,1,,30,30,30,30,,,,,
2,28,1,15,1,,30,30,30,30,,,,,
2,29,1,4,1,,30,30,30,30,,,,,
2,30,1,15,1,,30,30,30,30,,,,,
2,31,1,6,1,,30,30,30,30,,,,,
2,32,1,15,1,,30,30,30,30,,,,,
2,0,1.8,7,0,,30,30,30,30,,,,,
2,1,1.8,7,0,,30,30,30,30,,,,,
2,2,1.8,32,0,,30,30,30,30,,,,,
2,3,1.8,7,0,,30,30,30,30,,,,,
2,4,1.8,32,0,,30,30,30,30,,,,,
2,5,1.8,7,0,,30,30,30,30,,,,,
2,6,1.8,32,0,,30,30,30,30,,,,,
2,7,1.8,7,0,,30,30,30,30,,,,,
2,8,1.8,32,0,,30,30,30,30,,,,,
2,9,1.8,7,0,,30,30,30,30,,,,,
2,10,1.7,10,0,,30,30,30,30,,,,,
2,11,1.7,10,0,,30,30,30,30,,,,,
2,12,1.7,10,0,,30,30,30,30,,,,,
2,13,1.7,10,0,,30,30,30,30,,,,,
2,14,1.7,10,0,,30,30,30,30,,,,,
2,15,1.7,10,0,,30,30,30,30,,,,,
2,16,1.4,10,0,,30,30,30,30,,,,,
2,17,1.4,10,0,,30,30,30,30,,,,,
2,18,1.6,10,0,,30,30,30,30,,,,,
2,19,1.2,5,0,,30,30,30,30,,,,,
2,20,1.2,10,0,,30,30,30,30,,,,,
2,0,18,5,3,,30,30,30,30,,,,,
2,1,2.5,5,3,,30,30,30,30,,,,,
2,2,2.4,5,3,,30,30,30,30,,,,,
2,3,1,10,3,,30,30,30,30,,,,,
2,4,1,10,3,,30,30,30,30,,,,,
2,5,2,32,3,,30,30,30,30,,,,,
2,6,1.4,32,3,,30,30,30,30,,,,,
2,7,1.4,32,3,,30,30,30,30,,,,,
2,8,1.7,10,3,,30,30,30,30,,,,,
2,9,1.2,10,3,,30,30,30,30,,,,,
2,10,1.2,10,3,,30,30,30,30,,,,,
2,11,1.2,10,3,,30,30,30,30,,,,,
3,0,0,5,2,,40,40,40,40,,,,,
3,1,1.7,15,2,,40,40,40,40,,,,,
3,2,1.8,5,2,,40,40,40,40,,,,,
3,3,1.7,15,2,,40,40,40,40,,,,,
3,4,1.5,32,2,,40,40,40,40,,,,,
3,5,1.8,15,2,,40,40,40,40,,,,,
3,6,1.6,32,2,,40,40,40,40,,,,,
3,7,1.8,15,2,,40,40,40,40,,,,,
3,8,1.5,32,2,,40,40,40,40,,,,,
3,9,1.8,10,2,,40,40,40,40,,,,,
3,10,1.7,32,2,,40,40,40,40,,,,,
3,11,1.5,10,2,,40,40,40,40,,,,,
3,12,1.2,32,2,,40,40,40,40,,,,,
3,13,1.6,10,2,,40,40,40,40,,,,,
3,14,1.5,32,2,,40,40,40,40,,,,,
3,15,1.7,10,2,,40,40,40,40,,,,,
3,16,1.5,32,2,,40,40,40,40,,,,,
3,17,1.8,10,2,,40,40,40,40,,,,,
3,18,1.7,32,2,,40,40,40,40,,,,,
3,19,1.5,15,2,,40,40,40,40,,,,,
3,20,1.2,32,2,,40,40,40,40,,,,,
3,21,1.6,15,2,,40,40,40,40,,,,,
3,22,1.5,32,2,,40,40,40,40,,,,,
3,23,1.7,15,2,,40,40,40,40,,,,,
3,24,1.2,32,2,,40,40,40,40,,,,,
3,25,1.6,15,2,,40,40,40,40,,,,,
3,26,1.5,32,2,,40,40,40,40,,,,,
3,27,1.7,15,2,,40,40,40,40,,,,,
3,0,42,14,3,,40,40,40,40,,,,,
3,1,2,14,3,,40,40,40,40,,,,,
3,2,2,14,3,,40,40,40,40,,,,,
3,3,2,14,3,,40,40,40,40,,,,,
3,4,2,14,3,,40,40,40,40,,,,,
3,5,2,14,3,,40,40,40,40,,,,,
3,6,2,14,3,,40,40,40,40,,,,,
3,7,2,14,3,,40,40,40,40,,,,,
3,8,2,15,3,,40,40,40,40,,,,,
3,9,2,32,3,,40,40,40,40,,,,,
3,10,2,32,3,,40,40,40,40,,,,,
3,11,2,15,3,,40,40,40,40,,,,,
3,12,2,32,3,,40,40,40,40,,,,,
3,13,2,32,3,,40,40,40,40,,,,,
3,14,2,15,3,,40,40,40,40,,,,,
3,0,42,14,1,,40,40,40,40,,,,,
3,1,2,14,1,,40,40,40,40,,,,,
3,2,2.3,14,1,,40,40,40,40,,,,,
3,3,2,14,1,,40,40,40,40,,,,,
3,4,2.3,14,1,,40,40,40,40,,,,,
3,5,2.3,14,1,,40,40,40,40,,,,,
3,6,2,14,1,,40,40,40,40,,,,,
3,7,2,15,1,,40,40,40,40,,,,,
3,8,2.3,32,1,,40,40,40,40,,,,,
3,9,2,32,1,,40,40,40,40,,,,,
3,10,2,32,1,,40,40,40,40,,,,,
3,11,2,15,1,,40,40,40,40,,,,,
3,12,2,32,1,,40,40,40,40,,,,,
3,13,2,32,1,,40,40,40,40,,,,,
4,0,0,32,2,,50,50,50,50,,,,,
4,1,0.4,4,2,,50,50,50,50,,,,,
4,2,0.4,32,2,,50,50,50,50,,,,,
4,3,0.4,4,2,,50,50,50,50,,,,,
4,4,0.4,4,2,,50,50,50,50,,,,,
4,5,1.6,32,2,,50,50,50,50,,,,,
4,6,0.4,6,2,,50,50,50,50,,,,,
4,7,0.4,32,2,,50,50,50,50,,,,,
4,8,0.4,6,2,,50,50,50,50,,,,,
4,9,0.4,4,2,,50,50,50,50,,,,,
4,10,2,10,2,,50,50,50,50,,,,,
4,11,1,15,2,,50,50,50,50,,,,,
4,12,2,10,2,,50,50,50,50,,,,,
4,13,1,10,2,,50,50,50,50,,,,,
4,14,2,15,2,,50,50,50,50,,,,,
4,15,1,10,2,,50,50,50,50,,,,,
4,16,2,32,2,,50,50,50,50,,,,,
4,17,1,15,2,,50,50,50,50,,,,,
4,18,2,32,2,,50,50,50,50,,,,,
4,19,1,32,2,,50,50,50,50,,,,,
4,20,2,10,2,,50,50,50,50,,,,,
4,21,1,15,2,,50,50,50,50,,,,,
4,0,10,15,3,,50,50,50,50,,,,,
4,1,0.5,32,3,,50,50,50,50,,,,,
4,2,1.5,32,3,,50,50,50,50,,,,,
4,3,0.5,32,3,,50,50,50,50,,,,,
4,4,1.5,15,3,,50,50,50,50,,,,,
4,5,0.5,15,3,,50,50,50,50,,,,,
4,6,1.5,32,3,,50,50,50,50,,,,,
4,7,0.5,32,3,,50,50,50,50,,,,,
4,8,1.5,15,3,,50,50,50,50,,,,,
4,9,0.5,15,3,,50,50,50,50,,,,,
4,10,1.5,32,3,,50,50,50,50,,,,,
4,11,0.5,32,3,,50,50,50,50,,,,,
4,12,0.5,32,3,,50,50,50,50,,,,,
4,13,1.6,5,3,,50,50,50,50,,,,,
4,14,0.4,6,3,,50,50,50,50,,,,,
4,15,0.4,5,3,,50,50,50,50,,,,,
4,16,0.4,6,3,,50,50,50,50,,,,,
4,17,0.4,6,3,,50,50,50,50,,,,,
4,18,1.6,5,3,,50,50,50,50,,,,,
4,19,0.4,4,3,,50,50,50,50,,,,,
4,20,0.4,5,3,,50,50,50,50,,,,,
4,21,0.4,4,3,,50,50,50,50,,,,,
4,22,0.4,6,3,,50,50,50,50,,,,,
4,0,6.2,15,1,,50,50,50,50,,,,,
4,1,2,10,1,,50,50,50,50,,,,,
4,2,1,15,1,,50,50,50,50,,,,,
4,3,2,10,1,,50,50,50,50,,,,,
4,4,1,10,1,,50,50,50,50,,,,,
