wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star
0,0,0,3,0,1900,1,20,20,,18,10
0,1,3.4,3,0,,,,,,,
0,2,3.4,3,0,,,,,,,
0,3,3.4,10,0,,,,,,,
0,4,3.4,10,0,,,,,,,
0,5,3.4,10,0,,,,,,,
0,6,3.4,7,0,,,,,,,
0,7,3.4,7,0,,,,,,,
0,8,3.4,7,0,,,,,,,
0,9,0.7,7,0,,,,,,,
0,10,1.4,7,0,,,,,,,
0,11,1.4,7,0,,,,,,,
0,12,1.4,7,0,,,,,,,
0,13,0.8,4,0,,,,,,,
0,14,0.8,4,0,,,,,,,
0,15,0.8,6,0,,,,,,,
0,16,0.8,6,0,,,,,,,
0,17,0.8,6,0,,,,,,,
0,18,0.4,7,0,,,,,,,
0,19,1.4,7,0,,,,,,,
0,20,1.6,7,0,,,,,,,
0,21,1.7,7,0,,,,,,,
0,22,1.4,7,0,,,,,,,
0,23,1.2,7,0,,,,,,,
0,24,1.7,7,0,,,,,,,
0,25,1.8,7,0,,,,,,,
0,26,1.6,7,0,,,,,,,
0,27,1.7,7,0,,,,,,,
0,28,1.4,7,0,,,,,,,
0,29,2,7,0,,,,,,,
0,30,2,7,0,,,,,,,
0,31,2,7,0,,,,,,,
0,32,2,7,0,,,,,,,
0,33,2,7,0,,,,,,,
0,0,1.7,3,1,,,,,,,
0,1,3.4,3,1,,,,,,,
0,2,3.4,10,1,,,,,,,
0,3,3.4,10,1,,,,,,,
0,4,3.4,10,1,,,,,,,
0,5,3.4,10,1,,,,,,,
0,6,3.4,7,1,,,,,,,
0,7,3.4,7,1,,,,,,,
0,8,1.7,7,1,,,,,,,
0,9,1.4,7,1,,,,,,,
0,10,1.4,7,1,,,,,,,
0,11,1.4,7,1,,,,,,,
0,12,1.1,4,1,,,,,,,
0,13,0.8,4,1,,,,,,,
0,14,0.8,4,1,,,,,,,
0,15,0.8,6,1,,,,,,,
0,16,0.8,6,1,,,,,,,
0,17,0.8,6,1,,,,,,,
1,0,0,14,1,,,,,,,
1,1,3.8,14,1,,,,,,,
1,2,3.8,14,1,,,,,,,
1,3,3.8,14,1,,,,,,,
1,4,3.8,14,1,,,,,,,
1,5,3.8,14,1,,,,,,,
1,6,3.8,14,1,,,,,,,
1,7,3.8,14,1,,,,,,,
1,8,3.8,14,1,,,,,,,
1,9,3.8,14,1,,,,,,,
1,10,3.8,14,1,,,,,,,
1,11,12,14,1,,,,,,,
1,12,1.8,14,1,,,,,,,
1,13,1.8,14,1,,,,,,,
1,14,1.8,14,1,,,,,,,
1,15,1.8,14,1,,,,,,,
1,16,1.8,14,1,,,,,,,
1,17,1.8,14,1,,,,,,,
1,18,1.8,14,1,,,,,,,
1,19,1.8,14,1,,,,,,,
1,20,1.8,14,1,,,,,,,
1,21,1.8,14,1,,,,,,,
1,22,1.8,14,1,,,,,,,
1,23,1.8,14,1,,,,,,,
1,24,1.8,14,1,,,,,,,
1,25,1.8,14,1,,,,,,,
1,26,1.8,14,1,,,,,,,
1,0,1.9,14,2,,,,,,,
1,1,3.8,14,2,,,,,,,
1,2,3.8,14,2,,,,,,,
1,3,3.8,14,2,,,,,,,
1,4,3.8,14,2,,,,,,,
1,5,3.8,14,2,,,,,,,
1,6,3.8,14,2,,,,,,,
1,7,3.8,14,2,,,,,,,
1,8,3.8,14,2,,,,,,,
1,9,3.8,14,2,,,,,,,
1,10,2.9,3,2,,,,,,,
1,11,2,3,2,,,,,,,
1,12,2,3,2,,,,,,,
1,13,2,3,2,,,,,,,
1,14,2,3,2,,,,,,,
1,15,2,3,2,,,,,,,
1,0,38,5,0,,,,,,,
1,1,2,3,0,,,,,,,
1,2,2,3,0,,,,,,,
1,3,2,5,0,,,,,,,
1,4,2,3,0,,,,,,,
1,5,2,3,0,,,,,,,
1,6,2,5,0,,,,,,,
2,0,0,5,2,,,,,,,
2,1,1.7,3,2,,,,,,,
2,2,1.7,3,2,,,,,,,
2,3,1.7,3,2,,,,,,,
2,4,1.7,3,2,,,,,,,
2,5,2,5,2,,,,,,,
2,6,2,10,2,,,,,,,
2,7,2,10,2,,,,,,,
2,8,2,10,2,,,,,,,
2,9,2,10,2,,,,,,,
2,10,2,5,2,,,,,,,
2,11,0,5,2,,,,,,,
2,12,2.4,5,2,,,,,,,
2,13,2.4,3,2,,,,,,,
2,14,2.4,3,2,,,,,,,
2,15,2.4,3,2,,,,,,,
2,16,2.4,3,2,,,,,,,
2,17,2.4,5,2,,,,,,,
2,18,2,10,2,,,,,,,
2,19,2,10,2,,,,,,,
2,20,2,10,2,,,,,,,
2,21,2,5,2,,,,,,,
2,22,2,10,2,,,,,,,
2,23,2,14,2,,,,,,,
2,24,2,14,2,,,,,,,
2,25,2,14,2,,,,,,,
2,26,2,14,2,,,,,,,
2,27,2,14,2,,,,,,,
2,28,2,14,2,,,,,,,
2,29,2,14,2,,,,,,,
2,30,2,14,2,,,,,,,
2,31,2,14,2,,,,,,,
2,32,2,14,2,,,,,,,
2,33,2,14,2,,,,,,,
2,34,2,14,2,,,,,,,
2,0,20,4,1,,,,,,,
2,1,2.4,4,1,,,,,,,
2,2,2.4,4,1,,,,,,,
2,3,2.4,4,1,,,,,,,
2,4,2.4,4,1,,,,,,,
2,5,2.4,4,1,,,,,,,
2,6,2.2,6,1,,,,,,,
2,7,2,6,1,,,,,,,
2,8,2,6,1,,,,,,,
2,9,2,6,1,,,,,,,
2,10,2,6,1,,,,,,,
2,11,2,6,1,,,,,,,
2,0,44.2,14,0,,,,,,,
2,1,2,14,0,,,,,,,
2,2,2,14,0,,,,,,,
2,3,2,14,0,,,,,,,
2,4,2,14,0,,,,,,,
2,5,2,14,0,,,,,,,
2,6,2,14,0,,,,,,,
2,7,2,14,0,,,,,,,
2,8,2,14,0,,,,,,,
2,9,2,14,0,,,,,,,
2,10,2,14,0,,,,,,,
2,11,2,14,0,,,,,,,
3,0,0,7,1,,,,,,,
3,1,1.2,7,1,,,,,,,
3,2,2.7,7,1,,,,,,,
3,3,1.6,7,1,,,,,,,
3,4,2.9,7,1,,,,,,,
3,5,1.7,7,1,,,,,,,
3,6,2.7,7,1,,,,,,,
3,7,1.5,7,1,,,,,,,
3,8,3.2,7,1,,,,,,,
3,9,1.6,7,1,,,,,,,
3,10,2.7,7,1,,,,,,,
3,11,1.8,7,1,,,,,,,
3,12,3.3,7,1,,,,,,,
