wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
0,0,0,0,1,800,20,20,20,0_3_0@1_3_0@2_3_0@3_3_0@0_3_1@1_3_1@2_3_1@3_3_1@0_3_2@1_3_2@2_3_2@3_3_2,18,10,5,10
0,1,1,0,1,,,,,,,,,
0,2,1.3,0,1,,,,,,,,,
0,3,1.4,0,1,,,,,,,,,
0,4,1.8,0,1,,,,,,,,,
0,5,1.7,2,1,,,,,,,,,
0,6,1.5,2,1,,,,,,,,,
0,7,1.6,2,1,,,,,,,,,
0,8,1.4,2,1,,,,,,,,,
0,9,1.6,2,1,,,,,,,,,
0,10,1.7,0,1,,,,,,,,,
0,11,1.9,0,1,,,,,,,,,
0,12,1.8,0,1,,,,,,,,,
0,13,1.5,0,1,,,,,,,,,
0,14,1.6,0,1,,,,,,,,,
0,15,1.7,0,1,,,,,,,,,
0,16,1.6,0,1,,,,,,,,,
0,17,1.7,1,1,,,,,,,,,
0,18,1.9,1,1,,,,,,,,,
0,19,1.8,1,1,,,,,,,,,
0,0,32,1,2,,,,,,,,,
0,1,1.6,1,2,,,,,,,,,
0,2,1.6,1,2,,,,,,,,,
0,3,1.7,1,2,,,,,,,,,
0,4,1.9,1,2,,,,,,,,,
0,5,1.8,1,2,,,,,,,,,
0,6,1.5,1,2,,,,,,,,,
1,0,0,0,1,,,,,,,,,
1,1,1.7,0,1,,,,,,,,,
1,2,1.7,0,1,,,,,,,,,
1,3,1.2,2,1,,,,,,,,,
1,4,1.3,2,1,,,,,,,,,
1,5,1,2,1,,,,,,,,,
1,6,16.4,0,1,,,,,,,,,
1,7,1.7,0,1,,,,,,,,,
1,8,1.2,2,1,,,,,,,,,
1,9,1.3,2,1,,,,,,,,,
1,10,1,2,1,,,,,,,,,
1,11,2.7,0,1,,,,,,,,,
1,12,2.9,0,1,,,,,,,,,
1,13,2.4,1,1,,,,,,,,,
1,14,3.3,1,1,,,,,,,,,
1,15,2.8,2,1,,,,,,,,,
1,16,2.6,2,1,,,,,,,,,
1,17,3.5,2,1,,,,,,,,,
1,0,8.1,0,2,,,,,,,,,
1,1,1.5,0,2,,,,,,,,,
1,2,1.7,0,2,,,,,,,,,
1,3,1.2,0,2,,,,,,,,,
1,4,2.4,2,2,,,,,,,,,
