item_id,id,type,quantity,star
0,0,205,1,1
0,0,205,1,2
0,0,205,2,3
0,0,205,2,4
0,0,205,2,5
0,0,205,3,6
0,0,205,3,7
0,0,205,3,8
0,0,205,4,9
1,0,205,2,1
1,0,205,2,2
1,0,205,3,3
1,0,205,3,4
1,0,205,3,5
1,0,205,4,6
1,0,205,4,7
1,0,205,4,8
1,0,205,5,9
2,0,205,5,1
2,0,205,5,2
2,0,205,6,3
2,0,205,6,4
2,0,205,6,5
2,0,205,7,6
2,0,205,7,7
2,0,205,7,8
2,0,205,8,9
3,0,205,8,1
3,0,205,8,2
3,0,205,8,3
3,0,205,8,4
3,0,205,9,5
3,0,205,9,6
3,0,205,9,7
3,0,205,10,8
3,0,205,10,9
4,0,205,8,1
4,0,205,9,2
4,0,205,9,3
4,0,205,10,4
4,0,205,10,5
4,0,205,11,6
4,0,205,11,7
4,0,205,12,8
4,0,205,13,9
5,0,205,10,1
5,0,205,10,2
5,0,205,11,3
5,0,205,12,4
5,0,205,12,5
5,0,205,13,6
5,0,205,15,7
5,0,205,17,8
5,0,205,20,9
