wave,no,time,enemy_id,gate,loop,health_increment,damage_increment,armor_increment,resistance_increment,move_increment,gold,health,time_auto_next_wave,time_show_button_next
0,0,0,15,3,,,,,,,3000,1,20,20
0,1,3,3,3,,,,,,,,,,
0,2,3,15,3,,,,,,,,,,
0,3,3,3,3,,,,,,,,,,
0,4,3,15,3,,,,,,,,,,
0,5,3,3,3,,,,,,,,,,
0,6,1.3,15,3,,,,,,,,,,
0,7,2.3,3,3,,,,,,,,,,
0,8,2.3,15,3,,,,,,,,,,
0,9,2.3,10,3,,,,,,,,,,
0,10,2.3,15,3,,,,,,,,,,
0,11,2.3,10,3,,,,,,,,,,
0,12,2.3,10,3,,,,,,,,,,
0,13,2.3,10,3,,,,,,,,,,
0,14,2.3,10,3,,,,,,,,,,
0,15,2.3,10,3,,,,,,,,,,
0,16,2.3,10,3,,,,,,,,,,
0,17,21,10,3,,,,,,,,,,
0,18,1.7,3,3,,,,,,,,,,
0,19,1.8,10,3,,,,,,,,,,
0,20,1.6,3,3,,,,,,,,,,
0,21,1.7,10,3,,,,,,,,,,
0,0,1.5,3,4,,,,,,,,,,
0,1,3,3,4,,,,,,,,,,
0,2,3,3,4,,,,,,,,,,
0,3,3,3,4,,,,,,,,,,
0,4,3,3,4,,,,,,,,,,
0,5,1.5,3,4,,,,,,,,,,
0,6,2.3,3,4,,,,,,,,,,
0,7,2.3,3,4,,,,,,,,,,
0,8,2.3,10,4,,,,,,,,,,
0,9,2.3,10,4,,,,,,,,,,
0,10,2.3,10,4,,,,,,,,,,
0,11,2.3,15,4,,,,,,,,,,
0,12,2.3,10,4,,,,,,,,,,
0,13,2.3,15,4,,,,,,,,,,
0,14,2.3,10,4,,,,,,,,,,
0,0,40,18,6,,,,,,,,,,
0,1,1.5,18,6,,,,,,,,,,
0,2,1.5,18,6,,,,,,,,,,
0,3,1.5,18,6,,,,,,,,,,
0,4,1.5,18,6,,,,,,,,,,
0,5,1.5,18,6,,,,,,,,,,
0,6,1.5,18,6,,,,,,,,,,
0,7,1.5,18,6,,,,,,,,,,
0,8,1.5,18,6,,,,,,,,,,
0,9,1.5,18,6,,,,,,,,,,
0,10,1.5,18,6,,,,,,,,,,
0,11,0,3,6,,,,,,,,,,
0,12,1.4,10,6,,,,,,,,,,
0,13,1.6,3,6,,,,,,,,,,
0,14,1.7,10,6,,,,,,,,,,
0,15,1.4,3,6,,,,,,,,,,
0,16,9.4,3,6,,,,,,,,,,
0,17,1.6,10,6,,,,,,,,,,
0,18,1.6,3,6,,,,,,,,,,
0,19,1.6,10,6,,,,,,,,,,
0,20,1.3,3,6,,,,,,,,,,
0,21,1.3,10,6,,,,,,,,,,
1,0,0,17,3,,20,20,20,20,,,,,
1,1,2.4,17,3,,20,20,20,20,,,,,
1,2,2.4,17,3,,20,20,20,20,,,,,
1,3,2.4,17,3,,20,20,20,20,,,,,
1,4,2.4,17,3,,20,20,20,20,,,,,
1,5,2.4,18,3,,20,20,20,20,,,,,
1,6,2.4,18,3,,20,20,20,20,,,,,
1,7,2.4,18,3,,20,20,20,20,,,,,
1,8,2.4,18,3,,20,20,20,20,,,,,
1,9,2.4,18,3,,20,20,20,20,,,,,
1,0,1.3,17,6,,20,20,20,20,,,,,
1,1,2.4,17,6,,20,20,20,20,,,,,
1,2,2.4,17,6,,20,20,20,20,,,,,
1,3,2.4,17,6,,20,20,20,20,,,,,
1,4,2.4,17,6,,20,20,20,20,,,,,
1,5,2.4,18,6,,20,20,20,20,,,,,
1,6,2.4,18,6,,20,20,20,20,,,,,
1,7,2.4,18,6,,20,20,20,20,,,,,
1,8,2.4,18,6,,20,20,20,20,,,,,
1,0,23.2,20,4,,20,20,20,20,,,,,
1,1,1.7,3,4,,20,20,20,20,,,,,
1,2,1.7,3,4,,20,20,20,20,,,,,
1,3,1.7,10,4,,20,20,20,20,,,,,
1,4,1.7,10,4,,20,20,20,20,,,,,
1,5,1.7,3,4,,20,20,20,20,,,,,
1,6,1.7,3,4,,20,20,20,20,,,,,
1,7,1.7,10,4,,20,20,20,20,,,,,
1,8,1.7,10,4,,20,20,20,20,,,,,
1,9,1.7,3,4,,20,20,20,20,,,,,
1,10,1.7,3,4,,20,20,20,20,,,,,
1,11,1.7,10,4,,20,20,20,20,,,,,
1,12,18,3,4,,20,20,20,20,,,,,
